GPU,Core Clock,Turbo Clock,Memory Clock,Memory Interface,Memory Transfer Rate,Proc.,DirectX,PCIe
Radeon HD 4870,750 MHz,NA,3.6 GHz,256-bit,115.2 GB/s,800,10.1,2.0
Radeon HD 4870 X2,750 MHz x2,NA,3.6 GHz x2,256-bit x2,115.2 GB/s x2,800 x2,10.1,2.0
Radeon HD 4890,850 MHz,NA,3.9 GHz,256-bit,124.8 GB/s,800,10.1,2.0
Radeon HD 5450,650 MHz,NA,800 MHz (DDR2) or 1.6 GHz (DDR3),64-bit,6.4 GB/s (DDR2) or 12.8 GB/s (DDR3),80,11,2.0
Radeon HD 5550,550 MHz,NA,*,128-bit,*,320,11,2.0
Radeon HD 5570,650 MHz,NA,1.8 GHz,128-bit,28.8 GB/s,400,11,2.0
Radeon HD 5670,775 MHz,NA,4 GHz,128-bit,64 GB/s,400,11,2.0
Radeon HD 5750,705 MHz,NA,4.6 GHz,128-bit,73.6 GB/s,720,11,2.0
Radeon HD 5770,850 MHz,NA,4.8 GHz,128-bit,76.8 GB/s,800,11,2.0
Radeon HD 5830,800 MHz,NA,4 GHz,256-bit,128 GB/s,1120,11,2.0
Radeon HD 5850,725 MHz,NA,4 GHz,256-bit,128 GB/s,1440,11,2.0
Radeon HD 5870,850 MHz,NA,4.8 GHz,256-bit,153.6 GB/s,1600,11,2.0
Radeon HD 5970,725 MHz x2,NA,4 GHz x2,256-bit x2,128 GB/s x2,1600 x2,11,2.0
Radeon HD 6350,650 MHz,NA,1.6 GHz,64-bit,12.8 GB/s,80,11,2.0
Radeon HD 6390,550 MHz,NA,*,128-bit,*,320,11,2.0
Radeon HD 6450,*,NA,*,64-bit,*,160,11,2.0
Radeon HD 6570,650 MHz,NA,1.8 GHz (DDR3) or 4 GHz (GDDR5),128-bit,28.8 GB/s (DDR3) or 64 GB/s (GDDR5),480,11,2.0
Radeon HD 6670,800 MHz,NA,4 GHz,128-bit,64 GB/s,480,11,2.0
Radeon HD 6750,705 MHz,NA,4.6 GHz,128-bit,73.6 GB/s,720,11,2.0
Radeon HD 6770,850 MHz,NA,4.8 GHz,128-bit,76.8 GB/s,800,11,2.0
Radeon HD 6790,840 MHz,NA,4.2 GHz,256-bit,134.4 GB/s,800,11,2.0
Radeon HD 6850,775 MHz,NA,4 GHz,256-bit,128 GB/s,960,11,2.0
Radeon HD 6870,900 MHz,NA,4.2 GHz,256-bit,134.4 GB/s,1120,11,2.0
Radeon HD 6950,800 MHz,NA,5 GHz,256-bit,160 GB/s,1408,11,2.0
Radeon HD 6970,880 MHz,NA,5.5 GHz,256-bit,176 GB/s,1536,11,2.0
Radeon HD 6990,830 MHz or 880 MHz x2,NA,5 GHz x2,256-bit x2,160 GB/s x2,1536 x2,11,2.0
Radeon HD 7730,800 MHz,NA,4.5 GHz,128-bit,72 GB/s,384,11.1,3.0
Radeon HD 7750,800 MHz,NA,4.5 GHz,128-bit,72 GB/s,512,11.1,3.0
Radeon HD 7770,1000 MHz,NA,4.5 GHz,128-bit,72 GB/s,640,11.1,3.0
Radeon HD 7790,1000 MHz,NA,6 GHz,128-bit,96 GB/s,896,11.1,3.0
Radeon HD 7850,860 MHz,NA,4.8 GHz,256-bit,153.6 GB/s,1024,11.1,3.0
Radeon HD 7870,1000 MHz,NA,4.8 GHz,256-bit,153.6 GB/s,1280,11.1,3.0
Radeon HD 7950,800 MHz,NA,5 GHz,384-bit,240 GB/s,1792,11.1,3.0
Radeon HD 7970,925 MHz,NA,5.5 GHz,384-bit,264 GB/s,2048,11.1,3.0
Radeon HD 7970 GHz Edition,1000 MHz,NA,6 GHz,384-bit,288 GB/s,2048,11.1,3.0
Radeon HD 7990,1000 MHz,NA,6 GHz,384-bit,288 GB/s,2048,11.1,3.0
Radeon HD 8570,730 MHz,NA,1.8 GHz (DDR3) or 4.6 GHz (GDDR5),128-bit,28.8 GB/s (DDR3) or 73.6 GB/s (GDDR5),384,11.1,3.0 x8
Radeon HD 8670,1000 MHz,NA,4.6 GHz,128-bit,73.6 GB/s,384,11.1,3.0 x8
Radeon HD 8950,850 MHz,925 MHz,5 GHz,384-bit,240 GB/s,1792,11.1,3.0
Radeon HD 8970,1000 MHz,1.05 GHz,6 GHz,384-bit,288 GB/s,2048,11.1,3.0
Radeon R5 220,650 MHz,NA,1066 MHz,64-bit,8.53 GB/s,80,11,2.1 
Radeon R5 230,650 MHz,NA,1066 MHz,64-bit,8.53 GB/s,160,11,2.1
Radeon R5 235,775 MHz,NA,1.8 GHz,64-bit,14.4 GB/s,160,11,2.1
Radeon R5 235X,875 MHz,NA,1.8 GHz,64-bit,14.4 GB/s,160,11,2.1
Radeon R5 240,730 MHz,780 MHz,1.8 GHz,128-bit,28.8 GB/s,320,11.2,3.0 x8
Radeon R7 240 (DDR3), 730 MHz,780 MHz,1.8 GHz,128-bit,28.8 GB/s,320,11.2,3.0
Radeon R7 240 (GDDR5),730 MHz,780 MHz,4.6 GHz,128-bit,73.6 GB/s,320,11.2,3.0
Radeon R7 250 (DDR3),1000 MHz,1.05 GHz,1.8 GHz,128-bit,28.8 GB/s,384,11.2,3.0
Radeon R7 250 (GDDR5),1000 MHz,1.05 GHz,4.6 GHz,128-bit,73.6 GB/s,384,11.2,3.0
Radeon R7 250E,800 MHz,NA,4.5 GHz,128-bit,72 GB/s,512,11.2,3.0
Radeon R7 250XE,860 MHz,1125 MHz,4.5 GHz,128-bit,72 GB/s,640,11.2,3.0
Radeon R7 250X (DDR3),1000 MHz,?,*,128-bit,*,640,11.2,3.0
Radeon R7 250X (GDDR5),950 MHz,1125 MHz,4.5 GHz,128-bit,72 GB/s,640,11.2,3.0
Radeon R7 260,NA,1000 MHz,NA,128-bit,NA,768,11.2,3.0
Radeon R7 260X,1050 MHz,1100 MHz,6.5 GHz,128-bit,104 GB/s,896,11.2,3.0
Radeon R7 270,NA,925 MHz,NA,256-bit,NA,1280,11.2,3.0
Radeon R7 270X,1000 MHz,1.05 GHz,5.6 GHz,256-bit,179.2 GB/s,1280,11.2,3.0
Radeon R9 280X,850 MHz,1000 MHz,6 GHz,384-bit,288 GB/s,2048,11.2,3.0
Radeon R9 285,918 MHz,NA,5.5 GHz,256-bit,176 GB/s,1792,11.2,3.0
Radeon R9 290,NA,947 MHz,5 GHz,512-bit,320 GB/s,2560,11.2,3.0
Radeon R9 290X,800 MHz,1000 MHz,5 GHz,512-bit,320 GB/s,2816,11.2,3.0
Radeon R9 295X2,NA,1018 MHz,5 GHz,512-bit,320 GB/s,2816,11.2,3.0
Radeon R7 360,1000 MHz,1050 MHz,6.5 GHz,128-bit,104 GB/s,768,12,3.0
Radeon R7 370,925 MHz,975 MHz,5.6 GHz,256-bit,179 GB/s,1024,12,3.0
Radeon R9 380,970 MHz,NA,5.5 GHz,256-bit,182 GB/s,1792,12,3.0
Radeon R9 390,1000 MHz,NA,6 GHz,512-bit,384 GB/s,2560,12,3.0
Radeon R9 390X,1050 MHz,NA,6 GHz,512-bit,384 GB/s,2816,12,3.0
Radeon Fury X,1050 MHz,NA,1000 MHz,4096-bit,512 GB/s,4096,12,3.0
