ProductName,DiskType,Capacity,Rotation Speed,Interface,FormFactor
Hitachi Deskstar 5k3000 2TB,Hard disk,2000 GB,5400 rpm,Serial ATA 600,3.5 inch
Hitachi Deskstar 7K1000.C 750GB SATA2,Hard disk,750 GB,7200 rpm,Serial ATA 300,3.5 inch
"Western Digital VelociRaptor VR200M 600GB (2.5"")",Hard disk,600 GB,10000 rpm,Serial ATA 600,2.5 inch
Hitachi Travelstar Z7K500 500GB,Hard disk,500 GB,7200 rpm,Serial ATA 600,2.5 inch
Western Digital Caviar Green 640GB (SATA2; 64MB),Hard disk,640 GB,5400 rpm,Serial ATA 300,3.5 inch
Hitachi Travelstar 5K500.B 250GB SATA2,Hard disk,250 GB,5400 rpm,Serial ATA 300,2.5 inch
Seagate NAS HDD 3TB,Hard disk,3000 GB,5900 rpm,Serial ATA 600,3.5 inch
Seagate Surveillance HDD 6TB (rescue),Hard disk,6000 GB,5900 rpm,Serial ATA 600,3.5 inch
Samsung Spinpoint S166 80GB SATA2,Hard disk,80 GB,7200 rpm,Serial ATA 300,3.5 inch
Western Digital Desk Blue 4TB,Hard disk,4000 GB,5400 rpm,Serial ATA 600,3.5 inch
Seagate NAS HDD 6TB (rescue),Hard disk,6000 GB,7200 rpm,Serial ATA 600,3.5 inch
Western Digital Red 8TB,Hard disk,8000 GB,5400 rpm,Serial ATA 600,3.5 inch
Toshiba DT01ABA300V 3TB,Hard disk,3000 GB,5900 rpm,Serial ATA 600,3.5 inch
Seagate Barracuda 7200.12 750GB,Hard disk,750 GB,7200 rpm,Serial ATA 300,3.5 inch
Western Digital Red Pro 4TB,Hard disk,4000 GB,7200 rpm,Serial ATA 600,3.5 inch
Western Digital Desktop Mainstream 2TB,Hard disk,2000 GB,7200 rpm,Serial ATA 600,3.5 inch
Western Digital RE 5TB,Hard disk,5000 GB,7200 rpm,Serial ATA 600,3.5 inch
Western Digital Blue 1TB (64MB),Hard disk,1000 GB,7200 rpm,Serial ATA 600,3.5 inch
Seagate Barracuda ES.2 1TB SATA2,Hard disk,1000 GB,7200 rpm,Serial ATA 300,3.5 inch
Toshiba MJA2320BH 320GB SATA2,Hard disk,320 GB,5400 rpm,Serial ATA 300,2.5 inch
Western Digital Purple 4TB,Hard disk,4000 GB,5400 rpm,Serial ATA 600,3.5 inch
Seagate Pipeline 250GB,Hard disk,250 GB,5900 rpm,Serial ATA 300,3.5 inch
Hitachi Ultrastar 7K6000 5TB (SAS),Hard disk,5000 GB,7200 rpm,Serial ATA 600,3.5 inch
Western Digital Scorpio Black 250GB (with freefall sensor),Hard disk,250 GB,7200 rpm,Serial ATA 300,2.5 inch
Western Digital AV GP 750GB SATA2,Hard disk,750 GB,7200 rpm,Serial ATA 300,3.5 inch
Seagate Surveillance HDD 1TB,Hard disk,1000 GB,7200 rpm,Serial ATA 600,3.5 inch
Samsung Spinpoint F3 750GB (32MB),Hard disk,750 GB,7200 rpm,Serial ATA 300,3.5 inch
Seagate Constellation ES.3 ST1000NM0053 1TB,Hard disk,1000 GB,7200 rpm,Serial ATA 600,3.5 inch
Toshiba MQ02ABF050H 500GB,Hard disk,500 GB,5400 rpm,Serial ATA 600,2.5 inch
Hitachi Travelstar Z7K320 250GB,Hard disk,250 GB,7200 rpm,Serial ATA 300,2.5 inch
Seagate NAS HDD 4TB (rescue),Hard disk,4000 GB,5900 rpm,Serial ATA 600,3.5 inch
Western Digital Caviar RE 400GB SATA2,Hard disk,400 GB,7200 rpm,Serial ATA 300,3.5 inch
Western Digital Caviar SE 320GB,Hard disk,320 GB,7200 rpm,Serial ATA 300,3.5 inch
Maxtor DiamondMax 22 320GB SATA2,Hard disk,320 GB,7200 rpm,Serial ATA 300,3.5 inch
Seagate Momentus 1.75TB,Hard disk,1750 GB,5400 rpm,Serial ATA 600,2.5 inch
Western Digital AV-GP 160GB (SATA2; 16MB),Hard disk,160 GB,5400 rpm,Serial ATA 300,3.5 inch
Hitachi Travelstar 5K500.B 500GB,Hard disk,500 GB,5400 rpm,Serial ATA 300,2.5 inch
Western Digital AV-GP 2TB (SATA3; 64MB),Hard disk,2000 GB,5400 rpm,Serial ATA 600,3.5 inch
Hitachi Deskstar E7K1000 750GB SATA2,Hard disk,750 GB,7200 rpm,Serial ATA 300,3.5 inch
Western Digital AV-GP 1.5TB (SATA2; 32MB),Hard disk,1500 GB,5400 rpm,Serial ATA 300,3.5 inch
Seagate Barracuda ES 750GB SATA2,Hard disk,750 GB,7200 rpm,Serial ATA 300,3.5 inch
Seagate Enterprise Capacity 3TB (SED),Hard disk,3000 GB,7200 rpm,Serial ATA 600,3.5 inch
Western Digital Caviar Blue 1TB (SATA2; 32MB),Hard disk,1000 GB,7200 rpm,Serial ATA 300,3.5 inch
Western Digital Purple NV 4TB,Hard disk,4000 GB,7200 rpm,Serial ATA 600,3.5 inch
Hitachi Deskstar T7K500 250GB SATA2,Hard disk,250 GB,7200 rpm,Serial ATA 300,3.5 inch
Seagate Constellation CS 1TB,Hard disk,1000 GB,7200 rpm,Serial ATA 600,3.5 inch
Western Digital Scorpio Black 500GB (SATA3),Hard disk,500 GB,7200 rpm,Serial ATA 600,2.5 inch
Western Digital Scorpio Blue 1TB (12.5mm),Hard disk,1000 GB,5400 rpm,Serial ATA 300,2.5 inch
Seagate Constellation ES.2 2TB (SATA3; SED),Hard disk,2000 GB,7200 rpm,Serial ATA 600,3.5 inch
Seagate Momentus Laptop HDD 3TB,Hard disk,3000 GB,5400 rpm,Serial ATA 600,2.5 inch
Western Digital Green 1.5TB,Hard disk,1500 GB,7200 rpm,Serial ATA 600,3.5 inch
"Western Digital Red 1TB (2.5"")",Hard disk,1000 GB,5400 rpm,Serial ATA 600,2.5 inch
Western Digital Red 6TB,Hard disk,6000 GB,5400 rpm,Serial ATA 600,3.5 inch
Samsung Spinpoint F1 1TB (retail),Hard disk,1000 GB,7200 rpm,Serial ATA 300,3.5 inch
Hitachi Ultrastar A7K1000 SATA2,Hard disk,1000 GB,7200 rpm,Serial ATA 300,3.5 inch
Western Digital Desk Blue 6TB,Hard disk,6000 GB,5400 rpm,Serial ATA 600,3.5 inch
Western Digital Caviar Green 3TB (SATA2; 64MB),Hard disk,3000 GB,5400 rpm,Serial ATA 300,3.5 inch
Hitachi Deskstar 7K1000.B 1TB SATA2,Hard disk,1000 GB,7200 rpm,Serial ATA 300,3.5 inch
Western Digital Caviar Green 1TB (SATA3; 32MB),Hard disk,1000 GB,5400 rpm,Serial ATA 600,3.5 inch
HGST Deskstar NAS 4TB,Hard disk,4000 GB,7200 rpm,Serial ATA 600,3.5 inch
Toshiba DT01ABA200V 2TB,Hard disk,2000 GB,5700 rpm,Serial ATA 600,3.5 inch
Western Digital Red Pro 6TB,Hard disk,6000 GB,7200 rpm,Serial ATA 600,3.5 inch
Seagate Enterprise Capacity 6TB (SED),Hard disk,6000 GB,7200 rpm,Serial ATA 600,3.5 inch
Western Digital Caviar Green 2TB (SATA2; 32MB),Hard disk,2000 GB,5400 rpm,Serial ATA 300,3.5 inch
HGST Ultrastar A7K2000 1TB,Hard disk,1000 GB,7200 rpm,Serial ATA 300,3.5 inch
"Western Digital VelociRaptor VR200M 600GB (3.5"")",Hard disk,600 GB,10000 rpm,Serial ATA 600,3.5 inch
Western Digital Caviar Green 1.5TB,Hard disk,1500 GB,5400 rpm,Serial ATA 600,2.5 inch
Seagate Barracuda LP 1.5TB,Hard disk,1500 GB,5900 rpm,Serial ATA 300,3.5 inch
Western Digital Desktop Mainstream 4TB,Hard disk,4000 GB,7200 rpm,Serial ATA 600,3.5 inch
Seagate Surveillance HDD 8TB (rescue),Hard disk,8000 GB,7200 rpm,Serial ATA 600,3.5 inch
Seagate Momentus 5400.4 160GB SATA2,Hard disk,160 GB,5400 rpm,Serial ATA 300,2.5 inch
Western Digital Caviar Green 1TB (SATA2; retail),Hard disk,1000 GB,5400 rpm,Serial ATA 300,3.5 inch
Seagate Desktop HDD 1TB (encryption),Hard disk,1000 GB,7200 rpm,Serial ATA 600,3.5 inch
HGST Ultrastar 7K3000 2TB,Hard disk,2000 GB,7200 rpm,Serial ATA 600,3.5 inch
Western Digital Green 2TB,Hard disk,2000 GB,5400 rpm,Serial ATA 600,3.5 inch
Hitachi Deskstar 7K1000.C 1TB,Hard disk,1000 GB,7200 rpm,Serial ATA 300,3.5 inch
Toshiba MQ01ABF 500GB,Hard disk,500 GB,5400 rpm,Serial ATA 600,2.5 inch
Toshiba MK1649GSY 160GB SATA2,Hard disk,160 GB,7200 rpm,Serial ATA 300,2.5 inch
Western Digital Scorpio Black 320GB (without freefall sensor),Hard disk,320 GB,7200 rpm,Serial ATA 300,2.5 inch
Seagate Momentus 5400.4 200GB SATA,Hard disk,200 GB,5400 rpm,Serial ATA 300,2.5 inch
Seagate Momentus XT 750GB,Hard disk,750 GB,7200 rpm,Serial ATA 600,2.5 inch
Hitachi Ultrastar A7K1000 500GB SATA2,Hard disk,500 GB,7200 rpm,Serial ATA 300,3.5 inch
Seagate Barracuda 7200.12 500GB (SATA3),Hard disk,500 GB,7200 rpm,Serial ATA 600,3.5 inch
"Western Digital VelociRaptor 1TB (2.5"")",Hard disk,1000 GB,10000 rpm,Serial ATA 600,2.5 inch
Toshiba MQ01ABF032H 320GB,Hard disk,320 GB,5400 rpm,Serial ATA 600,2.5 inch
Seagate Momentus 7200.FDE.4 500GB SATA2,Hard disk,500 GB,7200 rpm,Serial ATA 300,2.5 inch
Western Digital Caviar SE16 400GB SATA,Hard disk,400 GB,7200 rpm,Serial ATA 300,3.5 inch
Samsung Spinpoint F1 250GB,Hard disk,250 GB,7200 rpm,Serial ATA 300,3.5 inch
Seagate Barracuda 7200.11 1.5TB,Hard disk,1500 GB,7200 rpm,Serial ATA 300,3.5 inch
Samsung Spinpoint M7 160GB,Hard disk,160 GB,5400 rpm,Serial ATA 300,2.5 inch
Toshiba MQ01ABF 320GB,Hard disk,320 GB,5400 rpm,Serial ATA 600,2.5 inch
Seagate Barracuda 7200.9 300GB,Hard disk,300 GB,7200 rpm,Serial ATA 300,3.5 inch
Western Digital Red 4TB (retail),Hard disk,4000 GB,5400 rpm,Serial ATA 600,3.5 inch
Western Digital Scorpio Blue 120GB,Hard disk,120 GB,5400 rpm,Serial ATA 300,2.5 inch
Western Digital AV 320GB (SATA3),Hard disk,320 GB,7200 rpm,Serial ATA 300,3.5 inch
Western Digital RE4-GP 2TB,Hard disk,2000 GB,5400 rpm,Serial ATA 300,3.5 inch
Seagate SV35.5 2TB,Hard disk,2000 GB,7200 rpm,Serial ATA 600,3.5 inch
Western Digital Caviar Green 2TB (SATA2; 64MB),Hard disk,2000 GB,5400 rpm,Serial ATA 300,3.5 inch
Toshiba X300 5TB,Hard disk,5000 GB,7200 rpm,Serial ATA 600,3.5 inch
Toshiba DT01ACA300 3TB,Hard disk,3000 GB,7200 rpm,Serial ATA 600,3.5 inch
Western Digital Purple NV 6TB,Hard disk,6000 GB,7200 rpm,Serial ATA 600,3.5 inch
Samsung Spinpoint F3 EcoGreen 1.5TB,Hard disk,1500 GB,5400 rpm,Serial ATA 300,3.5 inch
Samsung Spinpoint T166 320GB,Hard disk,320 GB,7200 rpm,Serial ATA 300,3.5 inch
Western Digital Scorpio Blue 750GB (WD7500BPVT),Hard disk,750 GB,5400 rpm,Serial ATA 300,2.5 inch
Seagate Enterprise NAS HDD 2TB,Hard disk,2000 GB,7200 rpm,Serial ATA 600,3.5 inch
Western Digital Re 4TB,Hard disk,4000 GB,7200 rpm,Serial ATA 600,3.5 inch
Seagate Video 3.5 HDD 3TB,Hard disk,3000 GB,7200 rpm,Serial ATA 600,3.5 inch
Western Digital Sentinel 4TB,Hard disk,4000 GB,7200 rpm,Serial ATA 600,3.5 inch
Western Digital Caviar Blue 640GB (SATA2; 16MB),Hard disk,640 GB,7200 rpm,Serial ATA 300,3.5 inch
Western Digital Scorpio Black 500GB,Hard disk,500 GB,7200 rpm,Serial ATA 300,2.5 inch
Seagate Constellation.2 250GB,Hard disk,250 GB,7200 rpm,Serial ATA 600,2.5 inch
Seagate Constellation.2 500GB,Hard disk,500 GB,5400 rpm,Serial ATA 300,2.5 inch
Hitachi Travelstar 7K320 160GB SATA2,Hard disk,160 GB,7200 rpm,Serial ATA 300,2.5 inch
Western Digital Ae 6TB,Hard disk,6000 GB,5700 rpm,Serial ATA 600,3.5 inch
Toshiba MK1249GSY 120GB SATA2,Hard disk,120 GB,7200 rpm,Serial ATA 300,2.5 inch
Western Digital Caviar Black 4TB,Hard disk,4000 GB,7200 rpm,Serial ATA 600,3.5 inch
Western Digital Caviar Green 750GB (SATA2; 16MB),Hard disk,750 GB,7200 rpm,Serial ATA 300,3.5 inch
Western Digital AV 250GB SATA2,Hard disk,250 GB,7200 rpm,Serial ATA 300,3.5 inch
Western Digital Caviar Blue 250GB (SATA2; 16MB),Hard disk,250 GB,7200 rpm,Serial ATA 300,3.5 inch
Seagate Momentus 7200.3 160GB SATA2 G-Force,Hard disk,160 GB,7200 rpm,Serial ATA 300,2.5 inch
Toshiba MK5055GSX 500GB SATA2,Hard disk,500 GB,5400 rpm,Serial ATA 300,2.5 inch
Hitachi Travelstar Z7K500 320GB,Hard disk,320 GB,7200 rpm,Serial ATA 600,2.5 inch
Maxtor DiamondMax 22 750GB SATA2,Hard disk,750 GB,7200 rpm,Serial ATA 300,3.5 inch
Seagate Constellation ES 1TB (SAS2),Hard disk,1000 GB,7200 rpm,Serial ATA 300,3.5 inch
Western Digital Green 4TB,Hard disk,4000 GB,5400 rpm,Serial ATA 600,3.5 inch
Seagate Desktop HDD 3TB (encryption),Hard disk,3000 GB,7200 rpm,Serial ATA 600,3.5 inch
Seagate Surveillance HDD 3TB (R/V),Hard disk,3000 GB,5900 rpm,Serial ATA 600,3.5 inch
Toshiba MK4058GSX 400GB SATA2,Hard disk,400 GB,5400 rpm,Serial ATA 300,2.5 inch
Seagate Constellation.2 1TB,Hard disk,1000 GB,7200 rpm,Serial ATA 600,2.5 inch
Western Digital AV-GP 1TB (SATA2; 8MB),Hard disk,1000 GB,7200 rpm,Serial ATA 300,3.5 inch
Seagate Desktop HDD 5TB,Hard disk,5000 GB,7200 rpm,Serial ATA 600,3.5 inch
Western Digital Caviar Black 500GB (SATA2; 32MB),Hard disk,500 GB,7200 rpm,Serial ATA 300,3.5 inch
Seagate Barracuda 7200.10 750GB,Hard disk,750 GB,7200 rpm,Serial ATA 300,3.5 inch
Western Digital Caviar Green 500GB (SATA2; 16MB),Hard disk,500 GB,7200 rpm,Serial ATA 300,3.5 inch
Western Digital AV-GP 2.5TB (SATA2; 64MB),Hard disk,2500 GB,7200 rpm,Serial ATA 300,3.5 inch
Western Digital Scorpio Black 250GB,Hard disk,250 GB,7200 rpm,Serial ATA 600,2.5 inch
Seagate Surveillance HDD 5TB,Hard disk,5000 GB,5900 rpm,Serial ATA 600,3.5 inch
Fujitsu MHW2120BJ 120GB SATA2,Hard disk,120 GB,7200 rpm,Serial ATA 300,2.5 inch
Toshiba MK2555GSX 250GB SATA2,Hard disk,250 GB,5400 rpm,Serial ATA 300,2.5 inch
Western Digital Caviar Green 750GB (SATA2; retail),Hard disk,750 GB,7200 rpm,Serial ATA 300,3.5 inch
Western Digital Caviar SE16 320GB (SATA2; retail),Hard disk,320 GB,7200 rpm,Serial ATA 300,3.5 inch
Western Digital Caviar SE16 400GB SATA2,Hard disk,400 GB,7200 rpm,Serial ATA 300,3.5 inch
Western Digital AV-25 320GB (SATA2; 32MB),Hard disk,320 GB,5400 rpm,Serial ATA 300,2.5 inch
"Western Digital VelociRaptor VR200M 300GB (2.5"")",Hard disk,300 GB,10000 rpm,Serial ATA 600,2.5 inch
Hitachi Travelstar 5K500.B 320GB SATA2,Hard disk,320 GB,5400 rpm,Serial ATA 300,2.5 inch
Western Digital RE2-GP 500GB,Hard disk,500 GB,7200 rpm,Serial ATA 300,3.5 inch
Seagate Desktop HDD 2TB (encryption),Hard disk,2000 GB,7200 rpm,Serial ATA 600,3.5 inch
Seagate Barracuda 7200.12 320GB (SATA3),Hard disk,320 GB,7200 rpm,Serial ATA 600,3.5 inch
Maxtor DiamondMax 21 250GB,Hard disk,250 GB,7200 rpm,Serial ATA 300,3.5 inch
Seagate SV35.6 2TB,Hard disk,2000 GB,7200 rpm,Serial ATA 600,3.5 inch
Seagate Barracuda 7200.14 3TB,Hard disk,3000 GB,7200 rpm,Serial ATA 600,3.5 inch
Fujitsu MJA2400BH 400GB SATA2,Hard disk,400 GB,5400 rpm,Serial ATA 300,2.5 inch
Hitachi Deskstar 7K500 500GB,Hard disk,500 GB,7200 rpm,Serial ATA 300,3.5 inch
Seagate Enterprise NAS HDD 4TB,Hard disk,4000 GB,7200 rpm,Serial ATA 600,3.5 inch
Seagate MomentusThin 250GB,Hard disk,250 GB,7200 rpm,Serial ATA 300,2.5 inch
Toshiba MG03ACA 1TB,Hard disk,1000 GB,7200 rpm,Serial ATA 600,3.5 inch
Silicon Power T10 64GB,Hard disk,64 GB,,Serial ATA 300,2.5 inch
Toshiba MK5076GSX 500GB,Hard disk,500 GB,5400 rpm,Serial ATA 300,2.5 inch
Hitachi Travelstar 7K500 500GB SATA2,Hard disk,500 GB,7200 rpm,Serial ATA 300,2.5 inch
Fujitsu MHZ2160BH 160GB SATA2,Hard disk,160 GB,5400 rpm,Serial ATA 300,2.5 inch
Seagate Enterprise Capacity 5TB,Hard disk,5000 GB,7200 rpm,Serial ATA 600,3.5 inch
Samsung Spinpoint F1R 500GB,Hard disk,500 GB,7200 rpm,Serial ATA 300,3.5 inch
Hitachi Ultrastar A7K2000 1TB,Hard disk,1000 GB,7200 rpm,Serial ATA 600,3.5 inch
Western Digital Sentinel 2TB,Hard disk,2000 GB,7200 rpm,Serial ATA 600,3.5 inch
Western Digital Re 2TB,Hard disk,2000 GB,7200 rpm,Serial ATA 600,3.5 inch
Western Digital Laptop Mainstream 500GB,Hard disk,500 GB,5400 rpm,Serial ATA 300,2.5 inch
Samsung Spinpoint F4 EcoGreen 1.5TB,Hard disk,1500 GB,5400 rpm,Serial ATA 300,3.5 inch
Samsung Spinpoint F1 1TB,Hard disk,1000 GB,7200 rpm,Serial ATA 300,3.5 inch
Western Digital AV 320GB SATA2,Hard disk,320 GB,7200 rpm,Serial ATA 300,3.5 inch
Western Digital Gold 4TB,Hard disk,4000 GB,7200 rpm,Serial ATA 600,3.5 inch
Western Digital RE4-GP 1.5TB,Hard disk,1500 GB,5400 rpm,Serial ATA 300,3.5 inch
Western Digital Red Pro 2TB,Hard disk,2000 GB,7200 rpm,Serial ATA 600,3.5 inch
Seagate Barracuda ES 320GB SATA2,Hard disk,320 GB,7200 rpm,Serial ATA 300,3.5 inch
Western Digital Caviar Green 640GB (SATA2; 32MB),Hard disk,640 GB,7200 rpm,Serial ATA 300,3.5 inch
HGST Deskstar NAS v2 6TB,Hard disk,6000 GB,7200 rpm,Serial ATA 600,3.5 inch
Hitachi Travelstar E5K250 120GB SATA2,Hard disk,120 GB,5400 rpm,Serial ATA 300,2.5 inch
Toshiba MD04ACA 4TB,Hard disk,4000 GB,7200 rpm,Serial ATA 600,3.5 inch
Western Digital Scorpio Black 160GB (without freefall sensor),Hard disk,160 GB,7200 rpm,Serial ATA 300,2.5 inch
Seagate Barracuda 7200.11 1.5TB (retail),Hard disk,1500 GB,7200 rpm,Serial ATA 300,3.5 inch
Seagate Momentus Spinpoint M8 750GB,Hard disk,750 GB,5400 rpm,Serial ATA 300,2.5 inch
HGST Ultrastar 7K4000 2TB,Hard disk,2000 GB,7200 rpm,Serial ATA 600,3.5 inch
Western Digital Caviar Black 2TB (SATA2; 64MB),Hard disk,2000 GB,7200 rpm,Serial ATA 300,3.5 inch
Seagate Constellation G2 1TB,Hard disk,1000 GB,7200 rpm,Serial ATA 600,2.5 inch
Seagate Barracuda ES 500GB,Hard disk,500 GB,7200 rpm,Serial ATA 300,3.5 inch
Seagate Barracuda 7200.11 750GB,Hard disk,750 GB,7200 rpm,Serial ATA 300,3.5 inch
Seagate Barracuda LP 1TB,Hard disk,1000 GB,5900 rpm,Serial ATA 300,3.5 inch
Hitachi Deskstar 7K160 160GB SATA2,Hard disk,160 GB,7200 rpm,Serial ATA 300,3.5 inch
Toshiba MC04ACA200E 2TB,Hard disk,2000 GB,7200 rpm,Serial ATA 600,3.5 inch
Western Digital Se 3TB,Hard disk,3000 GB,7200 rpm,Serial ATA 600,3.5 inch
Hitachi Travelstar 7K320 250GB SATA2,Hard disk,250 GB,7200 rpm,Serial ATA 300,2.5 inch
Maxtor DiamondMax 23 1TB SATA2,Hard disk,1000 GB,7200 rpm,Serial ATA 300,3.5 inch
"Western Digital VelociRaptor VR200M 300GB (3.5"")",Hard disk,300 GB,10000 rpm,Serial ATA 600,3.5 inch
Western Digital Re+ Yellow 6TB,Hard disk,6000 GB,5700 rpm,Serial ATA 600,3.5 inch
Hitachi Deskstar 7K3000 1.5TB (SATA3),Hard disk,1500 GB,7200 rpm,Serial ATA 600,3.5 inch
Seagate Momentus 7200.4 500GB SATA (OEM),Hard disk,500 GB,7200 rpm,Serial ATA 300,2.5 inch
Seagate Constellation ES 1TB,Hard disk,1000 GB,7200 rpm,Serial ATA 300,3.5 inch
Seagate SV35 500GB SATA2,Hard disk,500 GB,7200 rpm,Serial ATA 300,3.5 inch
Western Digital Caviar Black V2 4TB,Hard disk,4000 GB,7200 rpm,Serial ATA 600,3.5 inch
Toshiba MD04ACA 5TB,Hard disk,5000 GB,7200 rpm,Serial ATA 600,3.5 inch
Toshiba MK6476GSX 640GB,Hard disk,640 GB,5400 rpm,Serial ATA 300,2.5 inch
Western Digital Caviar RE4-GP 2TB,Hard disk,2000 GB,,Serial ATA 300,3.5 inch
Seagate Barracuda 7200.10 160GB 8MB SATA2,Hard disk,160 GB,7200 rpm,Serial ATA 300,3.5 inch
Western Digital AV-GP 1TB (SATA3; 16MB),Hard disk,1000 GB,7200 rpm,Serial ATA 600,3.5 inch
Seagate Enterprise NAS HDD 6TB,Hard disk,6000 GB,7200 rpm,Serial ATA 600,3.5 inch
Toshiba MK3261GSYN 320GB,Hard disk,320 GB,7200 rpm,Serial ATA 300,2.5 inch
Toshiba MK2552GSX 250GB SATA2,Hard disk,250 GB,5400 rpm,Serial ATA 300,2.5 inch
Hitachi Ultrastar 7K6000 6TB,Hard disk,6000 GB,7200 rpm,Serial ATA 600,3.5 inch
"Intenso 2.5"" Internal HDD 1TB",Hard disk,1000 GB,5400 rpm,Serial ATA 300,2.5 inch
Seagate Barracuda 7200.11 160GB,Hard disk,160 GB,7200 rpm,Serial ATA 300,3.5 inch
Seagate Constellation ES.3 3TB,Hard disk,3000 GB,7200 rpm,Serial ATA 600,3.5 inch
Hitachi Deskstar 7K1000.C 500GB,Hard disk,500 GB,7200 rpm,Serial ATA 600,3.5 inch
Samsung Spinpoint S166 160GB SATA2,Hard disk,160 GB,7200 rpm,Serial ATA 300,3.5 inch
Seagate Barracuda 7200.10 160GB 2MB SATA2,Hard disk,160 GB,7200 rpm,Serial ATA 300,3.5 inch
Western Digital AV-GP 250GB (SATA2; 16MB),Hard disk,250 GB,5400 rpm,Serial ATA 300,3.5 inch
Hitachi Travelstar 5K500 500GB SATA2,Hard disk,500 GB,5400 rpm,Serial ATA 300,2.5 inch
Seagate Barracuda Green 2TB,Hard disk,2000 GB,5900 rpm,Serial ATA 600,3.5 inch
Hitachi CinemaStar 5K1000 320GB,Hard disk,320 GB,7200 rpm,Serial ATA 300,3.5 inch
Seagate Barracuda 7200.14 320GB,Hard disk,320 GB,7200 rpm,Serial ATA 600,3.5 inch
Samsung Spinpoint M7 250GB,Hard disk,250 GB,5400 rpm,Serial ATA 300,2.5 inch
Western Digital AV-GP 1TB (SATA2; 32MB),Hard disk,1000 GB,7200 rpm,Serial ATA 300,3.5 inch
Fujitsu MHZ2120BH 120GB SATA2,Hard disk,120 GB,5400 rpm,Serial ATA 300,2.5 inch
Western Digital Scorpio Black 250GB (without freefall sensor),Hard disk,250 GB,7200 rpm,Serial ATA 300,2.5 inch
Seagate SkyHawk 3TB,Hard disk,3000 GB,,Serial ATA 600,3.5 inch
Seagate Archive HDD 5TB,Hard disk,5000 GB,5900 rpm,Serial ATA 600,3.5 inch
Toshiba DT01ABA100V 1TB,Hard disk,1000 GB,5700 rpm,Serial ATA 600,3.5 inch
Samsung Spinpoint M8 640GB,Hard disk,640 GB,5400 rpm,Serial ATA 600,2.5 inch
Western Digital Gold 6TB,Hard disk,6000 GB,7200 rpm,Serial ATA 600,3.5 inch
Western Digital Caviar Green 800GB (SATA2; 64MB),Hard disk,800 GB,5400 rpm,Serial ATA 300,3.5 inch
Hitachi Deskstar 5K1000 1TB,Hard disk,1000 GB,5400 rpm,Serial ATA 300,3.5 inch
Seagate Pipeline 1.5TB,Hard disk,1500 GB,5900 rpm,Serial ATA 300,3.5 inch
Hitachi Deskstar 7K3000 1.5TB,Hard disk,1500 GB,7200 rpm,Serial ATA 600,3.5 inch
Hitachi Deskstar 7K1000.D 1TB,Hard disk,1000 GB,7200 rpm,Serial ATA 600,3.5 inch
Seagate Constellation CS 3TB (Instant Secure Erase),Hard disk,3000 GB,7200 rpm,Serial ATA 600,3.5 inch
Samsung Spinpoint MP4 640GB,Hard disk,640 GB,7200 rpm,Serial ATA 300,2.5 inch
Western Digital AV-25 500GB (SATA2; 32MB),Hard disk,500 GB,5400 rpm,Serial ATA 300,2.5 inch
Seagate Barracuda ES 400GB SATA2,Hard disk,400 GB,7200 rpm,Serial ATA 300,3.5 inch
Seagate Barracuda Spinpoint F3 1TB,Hard disk,1000 GB,7200 rpm,Serial ATA 300,3.5 inch
Western Digital AV-GP 750GB (SATA2; 8MB),Hard disk,750 GB,5400 rpm,Serial ATA 300,3.5 inch
Seagate Constellation ES.2 2TB (SATA3),Hard disk,2000 GB,7200 rpm,Serial ATA 600,3.5 inch
Western Digital Desk Blue 500GB,Hard disk,500 GB,5400 rpm,Serial ATA 600,3.5 inch
HGST Travelstar Z5K500 320GB,Hard disk,320 GB,5400 rpm,Serial ATA 300,2.5 inch
Maxtor DiamondMax 21 160GB 8MB SATA2,Hard disk,160 GB,7200 rpm,Serial ATA 300,3.5 inch
Western Digital Caviar Green 2TB,Hard disk,2000 GB,5400 rpm,Serial ATA 300,2.5 inch
Samsung Spinpoint MP4 320GB,Hard disk,320 GB,7200 rpm,Serial ATA 300,2.5 inch
Samsung Spinpoint HD160J 160GB,Hard disk,160 GB,7200 rpm,Serial ATA 300,3.5 inch
Seagate Video 3.5 HDD 4TB,Hard disk,4000 GB,7200 rpm,Serial ATA 600,3.5 inch
"Western Digital VelociRaptor 300GB (3.5"" backplane)",Hard disk,300 GB,10000 rpm,Serial ATA 300,3.5 inch
Seagate Barracuda XT 3TB,Hard disk,3000 GB,7200 rpm,Serial ATA 600,3.5 inch
Western Digital Caviar Black 750GB (SATA3; 64MB),Hard disk,750 GB,7200 rpm,Serial ATA 600,3.5 inch
Samsung Spinpoint M7E 320GB,Hard disk,320 GB,5400 rpm,Serial ATA 300,2.5 inch
Seagate Surveillance HDD 3TB (rescue),Hard disk,3000 GB,5900 rpm,Serial ATA 600,3.5 inch
Western Digital Re Enterprise Capacity 2TB,Hard disk,2000 GB,7200 rpm,Serial ATA 600,3.5 inch
Western Digital Red 3TB (retail),Hard disk,3000 GB,5400 rpm,Serial ATA 600,3.5 inch
Western Digital Se 1TB,Hard disk,1000 GB,7200 rpm,Serial ATA 600,3.5 inch
Maxtor DiamondMax 23 500GB SATA2,Hard disk,500 GB,7200 rpm,Serial ATA 300,3.5 inch
Seagate Enterprise Capacity 6TB (4Kn; SED),Hard disk,6000 GB,7200 rpm,Serial ATA 600,3.5 inch
