ProductName,Power(W),Efficiency Rating
Be quiet! Straight Power E8 600W,600 W,
Thermaltake Evo Blue 650W Military Edition,650 W,80 Plus Gold
Corsair RM850,850 W,80 Plus Gold
Corsair HX650,650 W,80 Plus Bronze,80 Plus Gold
Antec NeoPower 650R-B,650 W,
Aerocool GT-700SG 700W,700 W,80 Plus Gold
Seasonic SS-500ET-F3 500W,500 W,80 Plus Bronze
Be quiet! B8 450W,450 W,80 Plus
Zalman ZM1250 Platinum 1250W,1250 W,80 Plus Platinum
Super Flower Amazon Bronze 300W,300 W,80 Plus Bronze
Fractal Design Tesla R2 800W,800 W,80 Plus Gold
Thermaltake Toughpower 1000W,1000 W,
Be quiet! Straight Power E8 CM 580W,580 W,80 Plus Silver
Corsair CX600 V2,600 W,80 Plus
Fractal Design Edison M Series 450W,450 W,80 Plus Gold
Antec EarthWatts Platinum 650W,650 W,80 Plus Platinum
Corsair CX600 V3,600 W,80 Plus Bronze
Seasonic Snow Silent 750,750 W,80 Plus Platinum
Seasonic SS-400L1U F0 400W,400 W,80 Plus Gold
Antec EarthWatts 380W,380 W,80 Plus
EVGA 650 GQ 650W,650 W,80 Plus Gold
Super Flower Leadex Titanium 1600W,1600 W,80 Plus Titanium
Antec VP600P,600 W,
Thermaltake TR2 S 350W,350 W,80 Plus
Thermaltake Toughpower Gold 550W,550 W,
Cooler Master Real Power Pro 1000W,1000 W,80 Plus
SilverStone Strider Essential 500W Black,500 W,
Xilence SPS-XP800 800W,800 W,80 Plus Bronze
Thermaltake Toughpower 1350W,1350 W,
Corsair AX1200,1200 W,80 Plus Gold
Super Flower Leadex Platinum 1600W,1600 W,80 Plus Platinum
Super Flower Leadex Gold 850W White,850 W,80 Plus Gold
Xilence OS Series 450W,450 W,80 Plus Bronze
Seasonic SSP-550RT 550W,550 W,80 Plus Gold
Gigabyte GreenMax 450W,450 W,80 Plus Bronze
SilverStone Strider Plus 850W,850 W,80 Plus Silver
Cooler Master V-Series Semi-Modular 550W,550 W,80 Plus Gold
Gigabyte Superb 570W,570 W,80 Plus
Cooler Master Silent Pro M2 420W,420 W,80 Plus Bronze
SilverStone Gemini GM600-G 600W,600 W,80 Plus Gold
Seasonic S12II 430W,430 W,80 Plus Bronze
Zalman ZM1000-HP Plus,1000 W,80 Plus Silver
Zalman ZM600-GT 600W,600 W,80 Plus Bronze
Be quiet! Straight Power E6 350W,350 W,
Antec CP-850 850W,850 W,80 Plus
Xilence RedWing Series 350W,350 W,
Cooler Master GX Lite 500W,500 W,
Corsair RM850 V2,850 W,80 Plus Gold
SilverStone Nightjar 400W,400 W,80 Plus Bronze
Corsair AX760,760 W,80 Plus Platinum
Chieftec iArena 400W 80+,400 W,80 Plus
Cooler Master Silent Pro Hybrid 1300W,1300 W,80 Plus Gold
FSP SPI-250G 250W,250 W,
Gigabyte Superb 460W,460 W,
Aerocool AP-550 550W,550 W,
EVGA SuperNova P2 850W,850 W,80 Plus Platinum
Be quiet! Pure Power 9 L9-600W,600 W,80 Plus Silver
SilverStone Strider Plus 500W,500 W,80 Plus Bronze
Cooler Master B700 V2 700W,700 W,80 Plus Bronze
Cooler Master B600 V2 600W,600 W,80 Plus
Chieftec GPM-450S,450 W,80 Plus Gold
SilverStone SST-ZM1350 1350W,1350 W,80 Plus Silver
Be quiet! Dark Power Pro 11 850W,850 W,80 Plus Platinum
Be quiet! Dark Power Pro P9 750W,750 W,80 Plus Gold
Fractal Design Newton R3 800W,800 W,80 Plus Platinum
Antec Edge 750W,750 W,80 Plus Gold
Be quiet! Pure Power L7 350W,350 W,80 Plus
FSP Source 600W,600 W,80 Plus Silver
Antec HCG-750M High Current Gamer 750W,750 W,80 Plus Bronze
Cooler Master Extreme Power 380W,380 W,
Corsair AX1200i,1200 W,80 Plus Platinum
FSP Aurum Gold 600W,600 W,80 Plus Gold
Cooler Master V-Series 550W,550 W,80 Plus Gold
Zalman ZM700-GT 700W,700 W,80 Plus Bronze
Be quiet! Straight Power E9 CM 480W,480 W,80 Plus Gold
Thermaltake TR2 470W,470 W,
Corsair RM650,650 W,80 Plus Gold
Thermaltake TR2 Gold 600W,600 W,80 Plus Gold
Cooler Master GX Lite 700W,700 W,
SilverStone Strider Gold 550W,550 W,80 Plus Gold
SilverStone ST70F-PB 700W,700 W,80 Plus Bronze
FSP Aurum Pro 1000W,1000 W,80 Plus Gold
Zalman ZM750-HP Plus 750W,750 W,
Seasonic X-Series 560W,560 W,80 Plus Gold
Xilence Performance A Series 630W,630 W,80 Plus
EVGA SuperNova P2 650W,650 W,80 Plus Platinum
EVGA SuperNova G2 1000W,1000 W,80 Plus Gold
Seasonic G-Series 650W,650 W,80 Plus Gold
Cooler Master Silent Pro M600,600 W,80 Plus Bronze
Be quiet! Pure Power 9 L9-400W,400 W,80 Plus Silver
SilverStone Strider Essential 700W,700 W,80 Plus Silver
FSP Hyper M 600W,600 W,
Thermaltake Toughpower Cable Management 650W,650 W,80 Plus
Be quiet! Dark Power Pro 450W,450 W,
FSP ATX-350PNF 350W,350 W,
FSP Hydro G 750W,750 W,80 Plus Gold
Xilence Single Fan 450W,450 W,
Aerocool E85M-700 700W,700 W,
Fractal Design Newton R3 600W,600 W,80 Plus Platinum
Aerocool Xpredator 750GM 750W,750 W,80 Plus Gold
Antec True Power 550W,550 W,
Antec HCG-900 High Current Gamer 900W,900 W,80 Plus Bronze
Chieftec APS-750CB 750W,750 W,80 Plus Bronze
Seasonic M12II Evo Bronze 850W,850 W,80 Plus Bronze
Antec VP400PC 400W,400 W,
Chieftec A-90 Series 750W,750 W,80 Plus Gold
Gigabyte GB-G750H 700W,700 W,80 Plus Gold
Be quiet! Pure Power L8 500W,500 W,80 Plus Bronze
Fractal Design Integra M 650W,650 W,80 Plus Bronze
Cooler Master Silent Pro Gold 450W,450 W,80 Plus Gold
Chieftec A-80 Power Supply 450W,450 W,
Chieftec GPM-750S 750W,750 W,80 Plus Gold
FSP FSP350-60EPN 350W,350 W,80 Plus Bronze
EVGA SuperNova G1 650W,650 W,80 Plus Gold
FSP FSP400-60GHN 400W,400 W,80 Plus
Antec BasiqPower 350W,350 W,
Chieftec GPS-500A8,500 W,80 Plus
Seasonic S12II 520W,520 W,80 Plus Bronze
Corsair VS350 V2,350 W,80 Plus
Corsair HX850,850 W,80 Plus Silver,80 Plus Gold
Chieftec A135 500W,500 W,80 Plus
Corsair CS550M,550 W,80 Plus Gold
Chieftec CPS-500S,500 W,80 Plus Bronze
Super Flower Leadex Gold 550W White,550 W,80 Plus Gold
Cooler Master V1200 Platinum,1200 W,80 Plus Platinum
Be quiet! System Power 700W,700 W,80 Plus
Antec HCP Platinum 850W,850 W,80 Plus Platinum
Aerocool Xpredator 600W,600 W,80 Plus Bronze
EVGA SuperNova G1 1000W,1000 W,80 Plus Gold
Aerocool Xpredator 1000GM 1000W,1000 W,80 Plus Gold
Corsair RM450,450 W,80 Plus Gold
Chieftec APS-850CB 850W,850 W,80 Plus Bronze
Cooler Master GX Series 650W,650 W,80 Plus Bronze
Be quiet! Power Zone 750W,750 W,80 Plus Bronze
Be quiet! Straight Power E9 450W,450 W,80 Plus Gold
Corsair VS450,450 W,
FSP Aurum Pro 1200W,1200 W,80 Plus Gold
Thermaltake Toughpower XT 875W,875 W,
FSP FSP700-50ARN 700W,700 W,
Corsair Vengeance V650M,650 W,80 Plus Bronze
SilverStone ST60F-PB 600W,600 W,80 Plus Bronze
