ProductName,Power(W),Efficiency Rating
FSP Source FSP300-60HHN 300W,300 W,
Cooler Master GX Series V2 750W,750 W,80 Plus Bronze
Seasonic M12II Evo Bronze 750W,750 W,80 Plus Bronze
Aerocool E78-430 430W,430 W,
Cooler Master GM-Series G650M,650 W,80 Plus Bronze
Chieftec Nitro Series 450W,450 W,80 Plus Bronze
Aerocool V12XT-800 800W,800 W,
Fractal Design Integra M 550W,550 W,80 Plus Bronze
Xilence Redwing Series 420W,420 W,
Thermaltake Toughpower DPS G RGB 850W Black/Gold,850 W,80 Plus Gold
Thermaltake Toughpower Grand 650W,650 W,80 Plus Gold
Seasonic M12II Bronze 620W,620 W,80 Plus Bronze
Cooler Master B500 V2 500W,500 W,80 Plus Bronze
Xilence OS Series 400W,400 W,80 Plus Bronze
Thermaltake Toughpower DPS G Gold 450W,450 W,80 Plus Gold
Aerocool GT-700S 700W,700 W,80 Plus Bronze
Super Flower Golden Green HX 750W,750 W,80 Plus Gold
Thermaltake Toughpower DPS G Gold 650W,650 W,80 Plus Gold
SilverStone ST40F-ESB 400W,400 W,80 Plus Bronze
Antec HCG-620M High Current Gamer 620W,620 W,80 Plus Bronze
EVGA SuperNova GQ 650W,650 W,80 Plus Gold
Super Flower Amazon Bronze 550W,550 W,80 Plus Bronze
Zalman ZM500-HP Plus 500W,500 W,80 Plus Bronze
Be quiet! Dark Power Pro 11 1200W,1200 W,80 Plus Platinum
Chieftec A-80 Power Supply 400W,400 W,
FSP FSP600-80PSA 600W,600 W,
Thermaltake Toughpower Grand Platinum 1050W,1050 W,80 Plus Platinum
Corsair AX1500i,1500 W,80 Plus Titanium
Cooler Master GX Series V2 550W,550 W,80 Plus Bronze
Zalman ZM1000-GVM 1000W,1000 W,80 Plus
Antec VP-450P Power Supply,450 W,
Thermaltake Toughpower 650W,650 W,80 Plus Gold
EVGA SuperNova T2 1000W Black,1000 W,80 Plus Titanium
EVGA 600W,600 W,80 Plus
FSP Aurum PT 1200W,1200 W,80 Plus Platinum
Be quiet! Dark Power Pro P8 650W,650 W,
Xilence RedWing Gaming Edition 700W,700 W,80 Plus Bronze
Be quiet! B8 550W,550 W,80 Plus
Corsair Vengeance V400,400 W,80 Plus Bronze
FSP FSP460-60HCN 460W,460 W,
Aerocool V12XT-1000 1000W,1000 W,
Thermaltake Smart Series 550W,550 W,80 Plus Bronze
Antec VPF Bronze 550W,550 W,80 Plus Bronze
Be quiet! Straight Power E9 500W,500 W,80 Plus Gold
Super Flower Golden Green HX 550W,550 W,80 Plus Gold
Thermaltake Toughpower XT 1475W,1475 W,
SilverStone Strider Plus 600W,600 W,80 Plus Bronze
Be quiet! Dark Power Pro P8 1200W,1200 W,80 Plus Silver
FSP Aurum CM 650W,650 W,80 Plus Gold
FSP FSP350-60APN 350W,350 W,80 Plus Bronze
Gigabyte Pulse 650W,650 W,80 Plus Bronze
Super Flower Leadex Gold 850W Black,850 W,80 Plus Gold
Be quiet! Pure Power 9 L9-700W,700 W,80 Plus Silver
Corsair CS850M,850 W,80 Plus Gold
Thermaltake TR2 S 450W,450 W,80 Plus
EVGA SuperNova G2L 750W,750 W,80 Plus Gold
Antec VP550P Basiq 550W,550 W,
Gigabyte Hercules Pro 480W,480 W,
Zalman ZM600-HP Plus 600W,600 W,80 Plus Bronze
Be quiet! Straight Power 10 600W CM,600 W,80 Plus Gold
FSP FSP350-60HHN 350W,350 W,80 Plus Bronze
Gigabyte GreenMax 550W,550 W,80 Plus Bronze
FSP Hydro X 550W,550 W,80 Plus Gold
Cooler Master V-Series Semi-Modular 650W,650 W,80 Plus Gold
Cooler Master V-Series 850W,850 W,80 Plus Gold
Thermaltake European Gold Series Paris 650W,650 W,80 Plus Gold
Be quiet! Pure Power 9 CM 500W,500 W,80 Plus Silver
Super Flower Leadex Platinum 850W Black,850 W,80 Plus Platinum
Fractal Design Integra R2 650W,650 W,80 Plus Bronze
Be quiet! System Power 7 700W,700 W,80 Plus Silver
Fractal Design Edison M Series 550W,550 W,80 Plus Gold
Be quiet! Dark Power Pro P8 1000W,1000 W,80 Plus Silver
Corsair CS650M,650 W,80 Plus Gold
Corsair HX1200i,1200 W,80 Plus Platinum
Be quiet! Pure Power 9 L9-500W,500 W,80 Plus Silver
SilverStone Strider Essential 600W,600 W,80 Plus,80 Plus
FSP Hyper M 500W,500 W,
Zalman ZM500-GT 500W,500 W,80 Plus
Be quiet! Dark Power Pro P9 850W,850 W,80 Plus Gold
EVGA SuperNova G 650W,650 W,80 Plus Gold
Xilence Single Fan 350W,350 W,
Cooler Master V-Series Semi-Modular 450W,450 W,80 Plus Gold
Super Flower Leadex Platinum 1000W Black,1000 W,80 Plus Platinum
Chieftec MRG-5800V 2x800W,800 W,80 Plus
Be quiet! Dark Power Pro 550W,550 W,
Cooler Master B-Series 500W,500 W,80 Plus Bronze
Be quiet! Straight Power E6 450W,450 W,
Antec HCP-850 High Current Pro 850W,850 W,80 Plus Gold
Xilence Redwing Series 600W,600 W,80 Plus Bronze
Cooler Master Silent Pro Gold 550W,550 W,80 Plus Gold
Seasonic SSP-350ST 350W,350 W,80 Plus Bronze
Be quiet! Dark Power Pro 1200W,1200 W,
Thermaltake TR2 Gold 700W,700 W,80 Plus Gold
Chieftec A-80 Power Supply 350W,350 W,
Antec BasiqPower 430W,430 W,
EVGA SuperNova B1 750W,750 W,80 Plus Bronze
Super Flower Golden Green Pro 650W,650 W,80 Plus Gold
Antec EarthWatts EA430 Green 430W,430 W,80 Plus Bronze
FSP Hexa+ 400W,400 W,80 Plus
Thermaltake Evo Blue 850W Military Edition,850 W,80 Plus Gold
Aerocool E78-530 530W,530 W,
Antec HCG-400 High Current Gamer 400W,400 W,80 Plus Bronze
Be quiet! System Power 7 350W,350 W,80 Plus Bronze
Chieftec PSF-400B,400 W,80 Plus Bronze
Cooler Master Elite Series 460W,460 W,
Corsair RM750,750 W,80 Plus Gold
Xilence Performance A Series 730W,730 W,80 Plus
Chieftec iArena GPB-450S,450 W,
Seasonic Platinum Series 660W,660 W,80 Plus Platinum
Corsair GS700 Bronze,700 W,80 Plus Bronze
FSP Source FSP500 500W,500 W,80 Plus Bronze
Aerocool GT-500 500W,500 W,80 Plus Bronze
Antec HCG-520 High Current Gamer 520W,520 W,80 Plus Bronze
EVGA SuperNova GQ 1000W,1000 W,80 Plus Gold
FSP Aurum PT 1000W,1000 W,80 Plus Platinum
Chieftec CPS-400S 400W,400 W,80 Plus Bronze
Antec Earthwatts 380W Green,380 W,80 Plus Bronze
Be quiet! Straight Power E8 CM 480W,480 W,80 Plus Silver
EVGA SuperNova G1 750W,750 W,80 Plus Gold
Thermaltake Toughpower 750W Crossfire,750 W,
Seasonic S12II 620W V2,620 W,80 Plus Bronze
EVGA 850 GQ 850W,850 W,80 Plus Gold
FSP Raider 550W,550 W,80 Plus Silver
SilverStone Strider Platinum 550W,550 W,80 Plus Platinum
Thermaltake Purepower RX 550W,550 W,
Super Flower Leadex Platinum 1200W Black,1200 W,80 Plus Platinum
Super Flower Leadex Gold 650W Black,650 W,80 Plus Gold
SilverStone Nightjar SST-NJ520 520W,520 W,80 Plus Platinum
Chieftec APS-500SB 500W,500 W,80 Plus Bronze
Be quiet! Dark Power Pro 11 750W,750 W,80 Plus Platinum
Chieftec iArena GPB-500S 500W,500 W,
Chieftec PSF-400A 400W,400 W,
Antec HCP Platinum 750W,750 W,80 Plus Platinum
Gigabyte GP-B700H 700W,700 W,80 Plus Bronze
Antec VP650PM,650 W,80 Plus Bronze
Gigabyte Superb 470W,470 W,
Be quiet! Straight Power E8 700W,700 W,80 Plus Silver
Fractal Design Integra M 750W,750 W,80 Plus Bronze
Be quiet! Pure Power L8 600W,600 W,80 Plus Bronze
Aerocool Strike-X Army 1100W,1100 W,80 Plus Gold
Seasonic Snow Silent 750W,750 W,80 Plus Platinum
Chieftec GPC-450S,450 W,
FSP Fortron 550W,550 W,80 Plus Gold
EVGA SuperNova T2 1600W,1600 W,80 Plus Titanium
Be quiet! Dark Power Pro 10 1000W,1000 W,80 Plus Gold
Zalman ZM500-TX 500W,500 W,80 Plus
Zalman ZM600-TX 600W,600 W,80 Plus
Corsair HX1000i,1000 W,80 Plus Platinum
Xilence OS Series 350W,350 W,80 Plus Bronze
Thermaltake Toughpower Grand Gold 850W,850 W,80 Plus Gold
Seasonic M12II Evo Bronze 620W,620 W,80 Plus Bronze
EVGA SuperNova P2 750W,750 W,80 Plus Platinum
Corsair GS700 V2,700 W,
Thermaltake European Gold Series London 550W,550 W,80 Plus Gold
Be quiet! Dark Power Pro 11 1000W,1000 W,80 Plus Platinum
Corsair RM1000x,1000 W,80 Plus Gold
Corsair RM550,550 W,80 Plus Gold
Aerocool Xpredator 550GM 550W,550 W,80 Plus Gold
Corsair HX750,750 W,80 Plus Silver,80 Plus Gold
Seasonic G-Series 750W,750 W,80 Plus Gold
FSP Hydro G 650W,650 W,80 Plus Gold
Be quiet! Straight Power E9 CM 580W,580 W,80 Plus Gold
Gigabyte Odin GT 550W,550 W,80 Plus
Chieftec Nitro 2 series 450W,400 W,80 Plus Bronze
Aerocool GT-500SG 500W,500 W,80 Plus Gold
EVGA 750 GQ 750W,750 W,80 Plus Gold
Corsair RM1000i,1000 W,80 Plus Gold
Xilence Performance A+ 830W,830 W,80 Plus Bronze
FSP FSP500-60EGA 500W,500 W,80 Plus Gold
SilverStone Strider Plus 750W,750 W,80 Plus Silver
Zalman ZM500-RS,500 W,80 Plus Bronze
Xilence Redwing Gaming Edition 750W,750 W,80 Plus Bronze
FSP Aurum 92+ 650W,650 W,80 Plus Platinum
Antec Neo Eco 620W,620 W,
Cooler Master Silent Pro M500,500 W,80 Plus Bronze
Aerocool Strike-X Army 500W,500 W,
Be quiet! Dark Power Pro 1000W,1000 W,
Antec HCG-850M High Current Gamer 850W,850 W,80 Plus Bronze
Be quiet! B8 350W,350 W,80 Plus
Cooler Master GX Lite 600W,600 W,,
Be quiet! Power Zone 1000W,1000 W,80 Plus Bronze
Thermaltake PurePower 600W,600 W,
Thermaltake Toughpower 700W,700 W,80 Plus Bronze
Aerocool GT-500S 500W,500 W,80 Plus Bronze
Chieftec GPA-450S8 450W,450 W,80 Plus
Zalman ZM500-GVM 500W,500 W,80 Plus Bronze
Fractal Design Tesla R2 650W White,650 W,80 Plus Gold
Seasonic Platinum Series 860W,860 W,80 Plus Platinum
EVGA SuperNova P2 1200W,1200 W,80 Plus Platinum
Thermaltake Toughpower DPS 750W,750 W,80 Plus Gold
Zalman Goldrock Series 750W,750 W,80 Plus Gold
Thermaltake Berlin 630W,630 W,80 Plus Bronze
EVGA 1000 GQ 1000W,1000 W,80 Plus Gold
Cooler Master Silent Pro M2 720W,720 W,80 Plus Bronze
Chieftec iArena GPA-450B8 450W,450 W,
Zalman ZM450-GS,450 W,
EVGA 430W,430 W,80 Plus
EVGA SuperNova G2 850W,850 W,80 Plus Gold
Aerocool GT-700 700W,700 W,80 Plus Bronze
Chieftec A135 650W,650 W,80 Plus
Corsair RM550x,550 W,80 Plus Gold
Super Flower Leadex Platinum 550W Black,550 W,80 Plus Platinum
Corsair CX500 V2,500 W,80 Plus
Thermaltake Toughpower XT Platinum 1275W,1275 W,80 Plus Platinum
Thermaltake Litepower 350W,350 W,80 Plus
Xilence XQ Series 750W,750 W,80 Plus Gold
Antec Edge 550W,550 W,80 Plus Gold
Xilence Performance A+ 630W,630 W,80 Plus Bronze
Be quiet! Dark Power Pro P9 550W,550 W,80 Plus Gold
Be quiet! Straight Power 10 500W,500 W,80 Plus Gold
Fractal Design Tesla R2 500W,500 W,80 Plus Gold
Corsair VS550,550 W,
Corsair Vengeance V550M,550 W,80 Plus Bronze
Chieftec A-80 CTG-600-80P 600W,600 W,
FSP Aurum 92+ 550W,550 W,80 Plus Platinum
Chieftec A-80 CTG-650-80P 650W,650 W,
Corsair CX500 V3,500 W,80 Plus Bronze
Seasonic S12G 650W,650 W,80 Plus Gold
Be quiet! Pure Power 9 L9-300W,300 W,80 Plus Bronze
Be quiet! System Power 8 500W,500 W,80 Plus
Chieftec BPS-750C2 750W,750 W,80 Plus Bronze
Seasonic Snow Silent 1050W,1050 W,80 Plus Platinum
Be quiet! Dark Power Pro 11 550W,550 W,80 Plus Platinum
Seasonic P-750 Snow Edition 750W,750 W,
Chieftec Navitas 650W,650 W,80 Plus Gold
Antec EarthWatts Platinum 450W,450 W,80 Plus Platinum
Thermaltake TR2 800W,800 W,
EVGA SuperNova B2 850W,850 W,80 Plus Bronze
Super Flower Leadex Platinum 2000W,2000 W,80 Plus Platinum
Be quiet! Straight Power E6 650W,650 W,
Be quiet! Pure Power L8 400W,400 W,80 Plus Bronze
Cooler Master GX Series 550W,550 W,80 Plus
Thermaltake TR2 Gold 500W,500 W,80 Plus Gold
Gigabyte Hercules Pro 300W,300 W,
FSP Hyper Series 700W,700 W,80 Plus Bronze
Be quiet! Power Zone 850W,850 W,80 Plus Bronze
Antec TruePower 750W Blue,750 W,80 Plus Bronze
Fractal Design Edison M 450W,450 W,80 Plus Gold
Corsair CX600M,600 W,80 Plus Bronze
Cooler Master Silent Pro M2 850W,850 W,80 Plus Silver
Zalman ZM750-EBT 750W,750 W,80 Plus Gold
Corsair VS550 V2,550 W,80 Plus
Corsair TX550M,550 W,80 Plus Bronze
Xilence SQ Series 550W,550 W,80 Plus Platinum
Chieftec GPA-450S 450W,450 W,
Seasonic SSP-650RT 650W,650 W,80 Plus Gold
Thermaltake Hamburg 530W,530 W,80 Plus
Corsair AX860,860 W,80 Plus Platinum
Thermaltake TR2 S 700W,700 W,80 Plus
Be quiet! Efficient F1 500W,500 W,80 Plus Gold
Seasonic SS-600H2U 600W,600 W,80 Plus
Seasonic Platinum Series 760W v2,760 W,80 Plus Platinum
Be quiet! Pure Power L7 530W,530 W,80 Plus Bronze
Zalman Goldrock Series 550W,550 W,80 Plus Gold
Aerocool V12XT-600 600W,600 W,
Super Flower Leadex Gold 750W White,750 W,80 Plus Gold
Aerocool Xpredator 700W,700 W,80 Plus Bronze
SilverStone SFX ST65F-G 650W,650 W,80 Plus Gold
Antec BasiqPower Plus 550W,550 W,
Gigabyte Superb E720 720W,720 W,
Be quiet! Power Zone 650W,650 W,80 Plus Bronze
FSP Zen 400W,400 W,80 Plus Bronze
Chieftec GPB-300S,300 W,
Be quiet! System Power 350W,350 W,80 Plus
EVGA SuperNova G 750W,750 W,80 Plus Gold
Thermaltake Toughpower 1500W,1500 W,
Thermaltake Toughpower XT 775W,775 W,80 Plus Bronze
Be quiet! Dark Power Pro 10 550W,550 W,80 Plus Gold
Be quiet! Dark Power Pro P7 850W,850 W,
FSP Hyper 700W,700 W,80 Plus
Chieftec Smart Series GPS-400A8 400W,400 W,80 Plus
Cooler Master B-Series 600W,600 W,80 Plus Bronze
Cooler Master Silent Pro Hybrid 850W,850 W,80 Plus Gold
Chieftec A-80 550W,550 W,
Antec Basiq BP550Plus,550 W,
FSP Raider 750W,750 W,80 Plus Silver
SilverStone Strider Platinum 750W,750 W,80 Plus Platinum
Thermaltake Smart DPS G 750W,750 W,80 Plus Gold
Antec TruePower 650W,650 W,80 Plus Bronze
Thermaltake Litepower 450W Active,450 W,
Corsair VS350,350 W,80 Plus
FSP Aurum S 600W,600 W,80 Plus Gold
Chieftec GPC-350S 350W,350 W,
Chieftec Nitro 750W,750 W,80 Plus Bronze
FSP FSP600-60AHBC 600W,600 W,
Chieftec Nitro Series 850W,850 W,
Cooler Master Silent Pro M2 520W,520 W,80 Plus Bronze
SilverStone Strider Essential 500W Silver,500 W,
Thermaltake Evo Blue 550W,550 W,
Zalman ZM500-GV 500W,500 W,80 Plus Bronze
Corsair VS650 V2,650 W,80 Plus
Thermaltake Munich 430W,430 W,80 Plus Bronze
Corsair AX850,850 W,80 Plus Gold
Be quiet! Straight Power 10 700W CM,700 W,80 Plus Gold
Zalman ZM500-GLX 500W,500 W,80 Plus
Chieftec A-135 Series APS-1000CB 1000W,1000 W,80 Plus Bronze
Antec TruePower Classic 550W,550 W,80 Plus Gold
Aerocool E85-700 700W,700 W,
Xilence Single Fan 500W,500 W,
Thermaltake Toughpower DPS G RGB 1250W,1250 W,80 Plus Titanium
Seasonic G-Series 360W,360 W,80 Plus Gold
Thermaltake Toughpower XT 575W,575 W,
FSP FSP350-60EGN 350W,350 W,80 Plus Gold
Aerocool V12XT-700 700W,700 W,
SilverStone Strider Essential 230V 400W,400 W,80 Plus Silver
Cooler Master Real Power Pro 750W,750 W,80 Plus
Fractal Design Integra R2 500W,500 W,80 Plus Bronze
Seasonic X-Series 850W,850 W,80 Plus Gold
Seasonic S12G 450W,450 W,80 Plus Gold
Antec SmartPower 2.0 350W,350 W,
EVGA 500W,500 W,80 Plus
Be quiet! Pure Power 9 CM 400W,400 W,80 Plus Silver
Fractal Design Tesla R2 650W,650 W,80 Plus Gold
Seasonic SSP-350GT 350W,350 W,80 Plus Gold
Xilence Performance C 400W,400 W,
Antec EarthWatts 2.0 650W,650 W,80 Plus
EVGA SuperNova GS 550W,550 W,80 Plus Gold
Thermaltake TR2 600W,600 W,80 Plus Bronze
Antec VP500PC,500 W,
Chieftec Smart GPS-700A8 700W,700 W,80 Plus
FSP Hexa 500W,500 W,80 Plus
Antec HCP Platinum 1300W,1300 W,80 Plus Platinum
SilverStone Strider Essential Gold 700W,700 W,80 Plus Gold
Be quiet! Straight Power 10 500W CM,500 W,80 Plus Gold
SilverStone Strider Titanium 800W,800 W,80 Plus Titanium
FSP Hyper Series 500W,500 W,80 Plus Bronze
Thermaltake Toughpower Grand 850W,850 W,
Zalman ZM400-ST 400W,400 W,80 Plus
Seasonic Platinum Series 860W v2,860 W,80 Plus Platinum
Thermaltake Smart Series 530W,530 W,80 Plus
Cooler Master Silent Pro Hybrid 1050W,1050 W,80 Plus Gold
Chieftec APS-450SB 450W,450 W,80 Plus Bronze
Chieftec GPA-500S8 500W,500 W,80 Plus
Be quiet! Straight Power E6 500W,500 W,
FSP FSP400-70PFL,400 W,80 Plus Bronze
SilverStone SST-ST1000-P,1000 W,
EVGA SuperNova P2 1000W,1000 W,80 Plus Platinum
Chieftec APS-600SB 600W,600 W,80 Plus Bronze
Aerocool Strike-X 800W,800 W,80 Plus Silver
Thermaltake TR2 S 500W,500 W,80 Plus
Antec EarthWatts 2.0 430W,430 W,80 Plus
Super Flower Golden Green HX 450W,450 W,80 Plus Gold
SilverStone ST75F-G Evolution 750W,750 W,80 Plus Gold
Seasonic Platinum Series Fanless 520W,520 W,80 Plus Platinum
Corsair HX1050,1050 W,,80 Plus Gold
Corsair GS800 V2,800 W,80 Plus Bronze
Be quiet! Pure Power L7 730W,730 W,80 Plus Bronze
Super Flower Golden Silent Fanless Platinum 430W,430 W,80 Plus Platinum
Corsair GS600,600 W,80 Plus
EVGA SuperNova G2 650W,650 W,80 Plus Gold
Zalman ZM600-GLX 600W,600 W,80 Plus
Chieftec A135 450W,450 W,80 Plus
Seasonic SS-350ET v2 350W,350 W,80 Plus Bronze
Aerocool Strike-X 1100W,1100 W,80 Plus Gold
Thermaltake Toughpower 850W,850 W,80 Plus Bronze
Corsair RM750x,750 W,80 Plus Gold
Chieftec GPE-500S,500 W,
SilverStone Strider Essential Bronze 700W,700 W,80 Plus Bronze
Thermaltake Smart Series 750W,750 W,80 Plus Bronze
Xilence Performance A+ 430W,430 W,80 Plus Bronze
Corsair CX750M,750 W,80 Plus Bronze
Be quiet! Dark Power Pro 10 750W,750 W,80 Plus Gold
FSP Hyper 500W,500 W,
Zalman ZM1000-EBT 1000W,1000 W,80 Plus Gold
Thermaltake Toughpower Standard 750W,750 W,80 Plus Gold
Xilence Redwing Series 580W,580 W,
Thermaltake Smart SE 630W,630 W,80 Plus Bronze
SilverStone Strider Essential Gold 500W,500 W,80 Plus Gold
Chieftec A-80 750W,750 W,
Aerocool GT-1050SG 1050W,1050 W,80 Plus Gold
Gigabyte Hercules Pro 430W,430 W,
Aerocool Strike-X 600W,600 W,80 Plus Bronze
SilverStone SST-ST85F-PT,850 W,80 Plus Platinum
Seasonic M12II Bronze 750W,750 W,80 Plus Bronze
Chieftec APS-650CB 650W,650 W,80 Plus Bronze
Thermaltake TR2 RX 450W,450 W,
Be quiet! Pure Power L8 630W CM,630 W,80 Plus Bronze
Antec VP300PC 300W,300 W,
Chieftec Navitas 850W,850 W,80 Plus Gold
Corsair RM750i,750 W,80 Plus Gold
Gigabyte Superb 620W,620 W,80 Plus
Seasonic SS-350ET-F3 350W,350 W,80 Plus Bronze
Chieftec Nitro Series 650W,650 W,
FSP Aurum S 400W,400 W,80 Plus Gold
Be quiet! Straight Power E8 550W,550 W,
Chieftec GPC-600S,600 W,
Seasonic S12II 380W,380 W,80 Plus Bronze
Chieftec Navitas 1250W,1250 W,80 Plus Gold
Fractal Design Newton R2 800W,800 W,
Corsair AX760i,760 W,80 Plus Platinum
Cooler Master GX Series 750W,750 W,80 Plus
Seasonic SS-600ET-F3 600W,600 W,80 Plus Bronze
Zalman ZM600-ST 600W,600 W,
Cooler Master V-Series 700W,700 W,80 Plus Gold
EVGA Bronze 600W,600 W,80 Plus Bronze
Be quiet! Pure Power L8 530W CM,530 W,80 Plus Bronze
Be quiet! Straight Power E9 700W,700 W,80 Plus Gold
Chieftec A-80 CTG-550-80P 550W,550 W,
FSP Aurum Xilenser 500W,500 W,80 Plus Gold
Cooler Master G-Series 600W,600 W,80 Plus Bronze
Cooler Master Silent Pro Gold 600W,600 W,80 Plus Gold
Seasonic S12II 430W V2,430 W,80 Plus Bronze
Chieftec GPA-350S8 350W,350 W,80 Plus
Antec TruePower Classic 750W,750 W,80 Plus Gold
Corsair TX750M,750 W,80 Plus Bronze
Chieftec Force CPS-750S 750W,750 W,80 Plus
Corsair TX650 V2,650 W,80 Plus Bronze
Be quiet! Pure Power L8 350W,350 W,80 Plus Bronze
Aerocool Strike-X CM 600W,600 W,80 Plus Bronze
Chieftec iArena GPM-650S 650W,650 W,80 Plus Gold
Zalman ZM500-GS 500W,500 W,
Aerocool Xpredator 500W,500 W,80 Plus Bronze
Be quiet! System Power 7 400W,400 W,80 Plus Bronze
Be quiet! Pure Power L8 430W CM,430 W,80 Plus Bronze
Xilence Performance C 600W,600 W,
Super Flower Leadex Platinum 1000W White,1000 W,80 Plus Platinum
Corsair GS800,800 W,80 Plus
Thermaltake Smart DPS G 600W,600 W,80 Plus Bronze
Thermaltake Litepower Black Edition 350W,350 W,
Corsair GS600 Bronze,600 W,80 Plus Bronze
EVGA SuperNova G2 1600W,1600 W,80 Plus Gold
Corsair CX600,600 W,
Be quiet! System Power 550W,550 W,80 Plus
Zalman ZM850-EBT 850W,850 W,80 Plus Gold
SilverStone Strider Titanium 600W,600 W,80 Plus Titanium
Fractal Design Edison M 650W,650 W,80 Plus Gold
Antec EarthWatts 750W,750 W,80 Plus
Thermaltake Smart Series 730W,730 W,80 Plus
Be quiet! Straight Power 10 700W,700 W,80 Plus Gold
Thermaltake Toughpower DPS G Gold 850W,850 W,80 Plus Gold
Thermaltake Toughpower DPS G Platinum 850W,850 W,80 Plus Platinum
