ProductName,FormFactor,CPUSocket,Chipset,MemType,Sata3Ports,PCIExpress_x16Ports,DDR3MemSlots,DDR4MemSlots
Gigabyte H81M-S,Micro ATX,Socket 1150,Intel H81,DDR3,2,1,,
Gigabyte MA790GP-UD4H,ATX,Socket AM2+,AMD 790GX,DDR2,,,,
MSI Z97-G43 Gaming,ATX,Socket 1150,Intel Z97,DDR3,6,2,,
Gigabyte 78LMT-S2,Micro ATX,Socket AM3+,AMD 760G,DDR3,,,,
Gigabyte P55-USB3,ATX,Socket 1156,Intel P55,DDR3,,,4,
Gigabyte EP43-DS3R,ATX,Socket 775,Intel P43,DDR2,,,,
Gigabyte Z97X-UD3H,ATX,Socket 1150,Intel Z97,DDR3,6,3,,
ASUS P8P67 WS Revolution,ATX,Socket 1155,Intel P67,DDR3,4,4,4,
ASRock G41M-LE,Micro ATX,Socket 775,Intel G41,DDR2,,,,
ASUS F1A75-M LE,Micro ATX,Socket FM1,AMD A75,DDR3,6,2,,
MSI H110M Pro-VD Plus,Micro ATX,Socket 1151,Intel H110,DDR4,,,,
MSI H81M-P32L,Micro ATX,Socket 1150,Intel H81,DDR3,2,1,,
ASRock A780FullDisplayPort,Micro ATX,Socket AM2+,AMD 780G,,,,0,
ASRock X58 Deluxe3,ATX,Socket 1366,Intel X58,DDR3,,,,
ASUS P5K3 Deluxe/WiFi-AP,ATX,Socket 775,Intel P35,DDR3,,,4,
ASUS Z170-P,ATX,Socket 1151,Intel Z170,DDR4,4,2,,
MSI H67MS-E43,Micro ATX,Socket 1155,Intel H67,DDR3,,,,
MSI B150M Pro-VD D3,ATX,Socket 1151,Intel B150,DDR3,6,1,,
MSI K9N2 Zilent,ATX,Socket AM2+,Nvidia nForce 750a SLI,DDR2,,,,
MSI Z170M Mortar,Micro ATX,Socket 1151,Intel Z170,DDR4,6,2,,
Gigabyte EP45-UD3P,ATX,Socket 775,Intel P45,DDR2,,,0,
ASRock 770 Extreme3,ATX,Socket AM3,AMD 770,DDR3,,,,
Gigabyte EP45-UD3R,ATX,Socket 775,Intel P45,DDR2,,,,
ASUS H110M-A/M.2,Micro ATX,Socket 1151,Intel H110,DDR4,4,1,,
ASUS P5GC,ATX,Socket 775,Intel 945GC,DDR2,,,,
ASRock Fatal1ty X99 Professional,ATX,Socket 2011-3,Intel X99,DDR4,10,5,0,8
MSI Media Live Diva 5.1,Micro ATX,Socket AM2+,AMD 780M,DDR2,,,0,
ASUS P8H77-M LE,Micro ATX,Socket 1155,Intel H77,DDR3,2,1,2,
Gigabyte EP45-UD3L,ATX,Socket 775,Intel P45,DDR2,,,,
MSI Z97-GD65 Gaming,ATX,Socket 1150,Intel Z97,DDR3,8,3,,
MSI 990FXA-GD80,ATX,Socket AM3+,AMD 990FX,DDR3,6,4,4,
Gigabyte P35T-DS3P,ATX,Socket 775,Intel P35,DDR3,,,,
Gigabyte F2A85XM-D3H,Micro ATX,Socket FM2,AMD A85X,DDR3,8,2,,
Gigabyte P41T-ES3G,ATX,Socket 775,Intel G41,DDR3,,,,
ASUS P5E3 Deluxe/WiFi-AP,ATX,Socket 775,Intel X38,DDR3,,,4,
Gigabyte Q87M-MK,Micro ATX,Socket 1150,Intel Q87,DDR3,6,1,,
MSI P45D3 Neo-F,ATX,Socket 775,Intel P45,DDR3,,,,
ASUS A88XM-A,Micro ATX,Socket FM2+,AMD A88X,DDR3,6,1,,
ASUS M5A78L-M/USB3,Micro ATX,Socket AM3+,AMD 760G,DDR3,0,1,,
MSI H67MS-E33,Micro ATX,Socket 1155,Intel H67,DDR3,,,,
ASUS P8Z68 Deluxe,ATX,Socket 1155,Intel Z68,DDR3,4,2,,
ASUS A88XM-E,Micro ATX,Socket FM2+,AMD A88X,DDR3,6,1,,
ASUS P5VD2-MX SE,ATX,Socket 775,,DDR2,,,,
MSI G41M-FD,Micro ATX,Socket 775,Intel G41,DDR2,,,,
MSI K9A2 CF-F V2,ATX,Socket AM2+,AMD 790X,,,,,
MSI X99A Gaming 7,ATX,Socket 2011-3,Intel X99,DDR4,10,4,,
ASRock G41M-S3,Micro ATX,Socket 775,Intel G41,DDR3,,,,
Gigabyte Z97X SLI,ATX,Socket 1150,Intel Z97,DDR3,6,2,,
ASRock K7S41GX,Micro ATX,Socket A,,DDR,,,,
Gigabyte MA78LM-S2,ATX,Socket AM3,AMD 760G,DDR2,,,,
Gigabyte Z87MX-D3H,Micro ATX,Socket 1150,Intel Z87,DDR3,6,3,,
MSI H61M-P31 (G3),Micro ATX,Socket 1155,Intel H61,DDR3,,,,
ASRock P43DE,ATX,Socket 775,Intel P43,DDR2,,,,
ASUS M2N32-SLI Deluxe,ATX,Socket AM2,Nvidia nForce 590 SLI,DDR2,,,,
ASUS P8B75-M LE,Micro ATX,Socket 1155,Intel B75,DDR3,1,1,,
Gigabyte B150-HD3P,ATX,Socket 1151,Intel B150,DDR4,6,1,,
MSI 945P Neo5-F,ATX,Socket 775,Intel 945P,DDR2,,,,
ASRock P67 Pro3 SE,ATX,Socket 1155,Intel P67,DDR3,2,2,,
ASRock ConRoe1333-GLAN,ATX,Socket 775,Intel 945GC,,,,,
Gigabyte MA790FX-UD5P,ATX,Socket AM2+,AMD 790FX,DDR2,,,,
Gigabyte P41T-USB3L,ATX,Socket 775,Intel G41,DDR3,,,,
ASRock B150M-HDV,Micro ATX,Socket 1151,Intel B150,DDR4,6,1,,
ASRock A780LM,Micro ATX,Socket AM2+,AMD 760G,,,,,
ASRock B150M-HDS,Micro ATX,Socket 1151,Intel B150,DDR4,4,1,,
Gigabyte PH67-UD3,ATX,Socket 1155,Intel H67,DDR3,,,,
ASUS Z87-K (C2),ATX,Socket 1150,Intel Z87,DDR3,6,2,4,
Gigabyte X38-DQ6,ATX,Socket 775,Intel X38,DDR2,,,0,
Gigabyte EP41T-UD3L,ATX,Socket 775,Intel G41,DDR3,,,,
ASRock Fatal1ty H97 Killer,ATX,Socket 1150,Intel H97,DDR3,6,2,4,
MSI P55A Fuzion,ATX,Socket 1156,Intel P55,DDR3,2,2,4,
Gigabyte X99-UD4P X99,ATX,Socket 2011-3,Intel X99,DDR4,10,4,,
ASUS P5QL Pro,ATX,Socket 775,Intel P43,DDR2,,,,
Gigabyte EP41-UD3L,ATX,Socket 775,Intel G41,DDR2,,,,
ASUS P5E3 Premium/WiFi-AP@n,ATX,Socket 775,Intel X48,DDR3,,,4,
ASUS M2N-VM SE,Micro ATX,Socket AM2,,DDR2,,,,
ASUS P5Q-VM DO,Micro ATX,Socket 775,Intel Q45,DDR2,,,,
MSI 990FXA-GD65,ATX,Socket AM3+,AMD 990FX,DDR3,6,2,,
ASUS P5E3,ATX,Socket 775,Intel X38,DDR3,,,,
Gigabyte B150-HD3,ATX,Socket 1151,Intel B150,DDR4,,,,
ASRock 970 Pro3 R2.0,ATX,Socket AM3+,AMD 970,DDR3,6,2,,
ASRock B75M-DGS R2.0,Micro ATX,Socket 1155,Intel B75,DDR3,4,1,,
ASRock Z68 Extreme7 Gen3,ATX,Socket 1155,Intel Z68,DDR3,6,5,,
ASRock P55 Extreme,ATX,Socket 1156,Intel P55,DDR3,,,,
MSI KA790GX,ATX,Socket AM2+,AMD 790GX,DDR2,,,,
MSI Z87-G45 Gaming,ATX,Socket 1150,Intel Z87,DDR3,6,3,4,
MSI A68HM-E33,Micro ATX,Socket FM2+,AMD A68H,DDR3,4,1,,
MSI B150M Pro-VH,Micro ATX,Socket 1151,Intel B150,DDR4,6,1,,
Gigabyte B85M-HD3 R4,Micro ATX,Socket 1150,Intel B85,DDR3,4,1,,
Gigabyte Z97P-D3,ATX,Socket 1150,Intel Z97,DDR3,6,2,4,
MSI B150M Pro-VD,Micro ATX,Socket 1151,Intel B150,DDR4,6,1,,
MSI H55M-ED55 WiFi,Micro ATX,Socket 1156,Intel H55,DDR3,,,,
ASUS Z170-A,ATX,Socket 1151,Intel Z170,DDR4,6,3,0,4
ASRock A75 Pro4,ATX,Socket FM1,AMD A75,DDR3,5,2,4,
ASUS Z170-E,ATX,Socket 1151,Intel Z170,DDR4,6,3,,
ASRock Z97M Pro4,Micro ATX,Socket 1150,Intel Z97,DDR3,6,2,,
Gigabyte G41MT-D3V,Micro ATX,Socket 775,Intel G41,DDR3,,,,
ASUS Z170-K,ATX,Socket 1151,Intel Z170,DDR4,6,2,,
ASUS H87M-E,Micro ATX,Socket 1150,Intel H87,DDR3,6,1,4,
ASUS P5KR,ATX,Socket 775,Intel P35,DDR2,,,,
ASUS P5KPL-AM SE/C/SI,Micro ATX,Socket 775,Intel G31,DDR2,,,,
Gigabyte X38-DS4,ATX,Socket 775,Intel X38,DDR2,,,,
MSI G31M2-FD V2,Micro ATX,Socket 775,Intel G31,DDR2,,,,
MSI Big Bang-Trinergy,ATX,Socket 1156,Intel P55,DDR3,,,4,
MSI G31M2-FD V1,Micro ATX,Socket 775,Intel G31,DDR2,,,,
Gigabyte X38-DS5,ATX,Socket 775,Intel X38,DDR2,,,,
ASUS P8H61/USB3 R2.0,ATX,Socket 1155,Intel H61,DDR3,,,,
ASRock A780GXH/128M,ATX,Socket AM2+,AMD 780G,DDR2,,,,
ASUS P5KC,ATX,Socket 775,Intel P35,DDR2+DDR3,,,,
ASUS P8H67 (B3),ATX,Socket 1155,Intel H67,DDR3,2,2,,
ASUS Sabertooth 990FX R2.0,ATX,Socket AM3+,AMD 990FX,DDR3,8,4,4,
ASRock C236M WS,Micro ATX,Socket 1151,Intel C236,DDR4,,,,
Gigabyte MA69GM-S2H,Micro ATX,Socket AM2,AMD 690G,DDR2,,,,
MSI PH61-P33,ATX,Socket 1155,Intel H61,DDR3,,,,
ASRock H81M-GL,Micro ATX,Socket 1150,Intel H81,DDR3,2,1,2,0
MSI NF520T-C35,ATX,Socket AM3,Nvidia nForce 520,DDR2,,,,
ASRock Z77 Extreme4-M,Micro ATX,Socket 1155,Intel Z77,DDR3,4,1,,
ASUS M5A87,ATX,Socket AM3+,AMD 870,DDR3,6,1,,
ASUS P7Q57-M DO,Micro ATX,Socket 1156,Intel Q57,DDR3,,,4,
ASRock EP2C612D8-2T8R,ATX,Socket 2011-3,Intel C612,DDR4,6,2,,
ASUS M4A77D,ATX,Socket AM3,AMD 770,DDR2,,,,
MSI X99A SLI Krait Edition,ATX,Socket 2011-3,Intel X99,DDR4,10,4,,
ASRock G41M-VS3 R2.0,Micro ATX,Socket 775,Intel G41,DDR3,,,,
ASRock A88M-G/3.1,Micro ATX,Socket FM2+,AMD A88X,DDR3,8,1,,
ASUS M4A89TD Pro/USB3,ATX,Socket AM3,AMD 890FX,DDR3,6,2,,
MSI Z77A-G43 Gaming,ATX,Socket 1155,Intel Z77,DDR3,2,1,,
ASUS F2A85-V,ATX,Socket FM2,AMD A85X,DDR3,7,2,,
ASUS P5M2,ATX,Socket 775,,DDR2,,,,
ASUS M4A77T,ATX,Socket AM3,AMD 770,DDR3,,,,
MSI Z170A Gaming M3,ATX,Socket 1151,Intel Z170,DDR4,2,2,,
ASUS Z9NA-D6,ATX,Socket 2011,Intel C602,DDR3,2,1,,
MSI Z170A Gaming M5,ATX,Socket 1151,Intel Z170,DDR4,6,3,0,4
Gigabyte H170-HD3 DDR3,ATX,Socket 1151,Intel H170,DDR3,6,1,,
MSI Z170A Gaming M7,ATX,Socket 1151,Intel Z170,DDR4,6,3,0,4
ASUS F2A85-M,Micro ATX,Socket FM2,AMD A85X,DDR3,7,2,,
ASRock B150M Pro4S,Micro ATX,Socket 1151,Intel B150,DDR4,6,2,,
MSI B85-G43 Gaming,ATX,Socket 1150,Intel B85,DDR3,4,2,,
ASUS P8H77-V,ATX,Socket 1155,Intel H77,DDR3,2,1,,
MSI K9N6PGM2-V,Micro ATX,Socket AM2+,Nvidia GeForce 6100,DDR2,,,,
MSI 870A-G54 (FX),ATX,Socket AM3,AMD 870,DDR3,6,2,,
ASRock G41M-VS,Micro ATX,Socket 775,Intel G41,DDR2,,,,
ASRock X58 Deluxe,ATX,Socket 1366,Intel X58,DDR3,,,6,
ASUS P8H61-M2 USB3,Micro ATX,Socket 1155,Intel H61,DDR3,,,,
ASUS P8Q67-M DO/TPM (B3),Micro ATX,Socket 1155,Intel Q67,DDR3,2,1,,
ASRock ConRoe1333-1394,ATX,Socket 775,Intel 945GC,,,,,
ASUS P8H77-M,Micro ATX,Socket 1155,Intel H77,DDR3,2,1,,
ASRock H55M/USB3 R2.0,Micro ATX,Socket 1156,Intel H55,DDR3,,,,
ASRock B150M Pro4V,Micro ATX,Socket 1151,Intel B150,DDR4,6,2,,
ASRock Z75 Pro3,ATX,Socket 1155,Intel Z75,DDR3,2,2,,
ASUS P8H61-MX,Micro ATX,Socket 1155,Intel H61,DDR3,0,1,,
Gigabyte Z170-Gaming K3,ATX,Socket 1151,Intel Z170,DDR4,6,2,0,4
ASRock Z170 Pro4/D3,ATX,Socket 1151,Intel Z170,DDR3,6,2,,
ASUS Crosshair V Formula (ThunderBolt),ATX,Socket AM3,AMD 990FX,DDR3,7,4,,
Gigabyte MW50-SV0,ATX,Socket 2011-3,Intel C612,DDR4,13,3,,
ASRock FM2A55M-VG3,Micro ATX,Socket FM2,AMD A55,DDR3,,,,
MSI K9A Platinum,ATX,Socket AM2,,DDR2,,,,
ASUS P8B75-M LX Plus,Micro ATX,Socket 1155,Intel B75,DDR3,1,1,2,
MSI Z170A Krait Gaming R6 Siege,ATX,Socket 1151,Intel Z170,DDR4,6,3,,
Gigabyte M68SM-S2L,Micro ATX,Socket AM2,Nvidia GeForce 7025,DDR2,,,,
MSI A55-G41 PC Mate,ATX,Socket FM2+,AMD A55,DDR3,,,,
ASUS P8H67-V (B3),ATX,Socket 1155,Intel H67,DDR3,2,2,,
ASUS H87M-E (C2),Micro ATX,Socket 1150,Intel H87,DDR3,6,1,,
ASUS Sabertooth Z97 Mark S,ATX,Socket 1150,Intel Z97,DDR3,6,2,,
ASRock 4Core1333-FullHD,Micro ATX,Socket 775,,DDR2,,,,
ASRock P45XE-WiFiN,ATX,Socket 775,Intel P45,DDR2,,,,
ASUS A88XM-Plus/CSM,Micro ATX,Socket FM2+,AMD A88X,DDR3,8,1,,
ASUS P8Z68-V Pro Gen3,ATX,Socket 1155,Intel Z68,DDR3,4,3,4,3
Gigabyte H61M-S2V-B3,Micro ATX,Socket 1155,Intel H61,DDR3,,,,
ASUS A8V-VM SE,Micro ATX,Socket 939,,DDR,,,,
ASUS Sabertooth Z97 Mark 1,ATX,Socket 1150,Intel Z97,DDR3,8,3,4,
Gigabyte 945PL-S3P,ATX,Socket 775,Intel 945PL,DDR2,,,,
MSI CSM-H87S-098,ATX,Socket 1150,Intel H87,DDR3,12,1,,
Gigabyte H87M-HD3,Micro ATX,Socket 1150,Intel H87,DDR3,6,1,2,
Gigabyte PH67A-D3-B3,ATX,Socket 1155,Intel H67,DDR3,,,,
Gigabyte 970-Gaming,ATX,Socket AM3+,AMD 990X,DDR3,,,,
MSI P4M900M3-L,Micro ATX,Socket 775,,DDR2,,,,
ASRock B85M-DGS,Micro ATX,Socket 1150,Intel B85,DDR3,4,1,,
ASUS P10S-X,ATX,Socket 1151,Intel C232,DDR4,6,1,,
MSI 945GCM5-F V2,Micro ATX,Socket 775,Intel 945GC,DDR2,,,,
MSI H61M-P31/W8,Micro ATX,Socket 1155,Intel H61,DDR3,,,,
ASUS M5A97,ATX,Socket AM3+,AMD 970,DDR3,6,2,,
ASRock 4Core1600-D800,Micro ATX,Socket 775,Intel G31,DDR2,,,,
ASUS Sabertooth Z97 Mark 2,ATX,Socket 1150,Intel Z97,DDR3,6,3,4,
ASUS Maximus VIII Ranger,ATX,Socket 1151,Intel Z170,DDR4,6,3,0,4
MSI 760GM-P34 (FX),Micro ATX,Socket AM3+,AMD 760G,DDR3,0,1,,
MSI 915GM Speedster-FA4,Micro ATX,Socket 479,Intel 915GM,,,,,
Gigabyte H67MA-UD2H,Micro ATX,Socket 1155,Intel H67,DDR3,2,2,4,
ASRock H81M-HDS,Micro ATX,Socket 1150,Intel H81,DDR3,2,1,,
MSI 970A SLI Krait Edition,ATX,Socket AM3+,AMD 970,DDR3,6,2,,
Gigabyte EP43T-UD3L,ATX,Socket 775,Intel P43,DDR3,,,,
MSI K9N Neo-F V3,ATX,Socket AM2,,DDR2,,,,
MSI K9N Neo-F V2,ATX,Socket AM2,Nvidia nForce 550,DDR2,,,,
Gigabyte 870A-UD3,ATX,Socket AM3,AMD 870,DDR3,6,2,,
Gigabyte F2A85XM-HD3,Micro ATX,Socket FM2,AMD A85X,DDR3,8,2,,
MSI G31TM-P21,Micro ATX,Socket 775,Intel G31,DDR2,,,,
ASRock G31DE,ATX,Socket 775,Intel G31,,,,,
ASUS P7F-X,ATX,Socket 1156,,DDR3,,,,
Gigabyte X99P-SLI,ATX,Socket 2011-3,Intel X99,DDR4,10,2,,
ASRock P43ME,Micro ATX,Socket 775,Intel P43,DDR2,,,,
ASUS M4N68T LE V2,ATX,Socket AM3,Nvidia nForce 630a,DDR3,,,,
Gigabyte P67A-UD4-B3,ATX,Socket 1155,Intel P67,DDR3,2,2,4,
ASRock G41M-GE3,Micro ATX,Socket 775,Intel G41,DDR3,,,,
Gigabyte M52LT-D3,ATX,Socket AM3,Nvidia nForce 520 LE,DDR3,0,1,4,
MSI B150A Gaming Pro,ATX,Socket 1151,Intel B150,DDR4,6,2,0,4
ASUS M2A-MVP,ATX,Socket AM2,,DDR2,,,,
ASUS P7F-M,Micro ATX,Socket 1156,,DDR3,,,,
Gigabyte EP45-UD3,ATX,Socket 775,Intel P45,DDR2,,,,
Gigabyte 880GM-D2H,Micro ATX,Socket AM3,AMD 880G,DDR3,,,,
MSI DKA790GX Platinum,ATX,Socket AM2+,AMD 790GX,DDR2,,,0,
Gigabyte X79-UP4,ATX,Socket 2011,Intel X79,DDR3,6,4,8,
ASRock P75 Pro3,ATX,Socket 1155,Intel B75,DDR3,1,1,,
ASUS P7F-E,ATX,Socket 1156,,DDR3,,,,
ASUS M2A-VM,Micro ATX,Socket AM2+,AMD 690G,DDR2,,,,
MSI G41M-P33 Combo,Micro ATX,Socket 775,Intel G41,DDR3,,,,
ASUS B150M-K,Micro ATX,Socket 1151,Intel B150,DDR4,6,1,,
MSI 790FX-GD70,ATX,Socket AM3,AMD 790FX,DDR3,,,4,
MSI H97M Eco,Micro ATX,Socket 1150,Intel H97,DDR3,6,1,,
Gigabyte Z68XP-UD3,ATX,Socket 1155,Intel Z68,DDR3,4,2,,
Gigabyte MA74GM-S2,Micro ATX,Socket AM2+,AMD 740G,DDR2,,,,
MSI G31M-F,Micro ATX,Socket 775,Intel G31,DDR2,,,,
ASUS F1A75,ATX,Socket FM1,AMD A75,DDR3,6,2,,
ASUS A55BM-Plus/CSM,Micro ATX,Socket FM2+,AMD A55,,,,,
ASUS B150M-A,Micro ATX,Socket 1151,Intel B150,DDR4,6,1,,
Gigabyte Z68XP-UD5,ATX,Socket 1155,Intel Z68,DDR3,2,1,,
Gigabyte Z68XP-UD4,ATX,Socket 1155,Intel Z68,DDR3,4,2,4,
ASUS B150M-C,Micro ATX,Socket 1151,Intel B150,DDR4,6,2,,
ASRock FM2A78M Pro3+,Micro ATX,Socket FM2,AMD A78,DDR3,6,1,,
Gigabyte P61-DS3-B3,ATX,Socket 1155,Intel H61,DDR3,,,,
ASRock ALiveNF7G-GLAN,Micro ATX,Socket AM2+,Nvidia nForce 630a,DDR2,,,,
ASUS M3A32-MVP Deluxe,ATX,Socket AM2+,AMD 790FX,DDR2,,,,
MSI PM8M-V,Micro ATX,Socket 478,,DDR,,,,
ASUS B150-Pro D3,ATX,Socket 1151,Intel B150,DDR3,6,2,,
ASUS P8P67 Pro (B3),ATX,Socket 1155,Intel P67,DDR3,4,3,,
ASUS P9X79 WS,ATX,Socket 2011,Intel X79,DDR3,4,6,8,
ASRock X58 Extreme,ATX,Socket 1366,Intel X58,DDR3,,,,
ASRock H67M-GE,Micro ATX,Socket 1155,Intel H67,DDR3,2,1,,
ASUS P5B-Plus Vista Edition,ATX,Socket 775,Intel P965,DDR2,,,,
ASUS Z170-WS,ATX,Socket 1151,Intel Z170,DDR4,6,4,,
MSI K9AGM3-FIH,Micro ATX,Socket AM2,AMD 690G,DDR2,,,,
ASUS Maximus VI Gene (C2),Micro ATX,Socket 1150,Intel Z87,DDR3,8,2,4,
Gigabyte Q57M-S2H,Micro ATX,Socket 1156,Intel Q57,DDR3,,,,
ASUS A55BM-K,Micro ATX,Socket FM2+,AMD A55,DDR3,,,,
ASUS M4N72-E,ATX,Socket AM2+,Nvidia nForce 750a SLI,DDR2,,,,
Gigabyte EQ45M-S2,ATX,Socket 775,Intel Q45,DDR2,,,,
MSI P7N2 Diamond,ATX,Socket 775,Nvidia nForce 790i Ultra SLI,DDR3,,,4,
ASUS M4N75TD,ATX,Socket AM3,Nvidia nForce 750a SLI,DDR3,,,,
ASUS A55BM-E,Micro ATX,Socket FM2+,AMD A55,DDR3,,,,
ASRock FM2A78M Pro4+,Micro ATX,Socket FM2+,AMD A78,DDR3,1,1,,
MSI H61M-E23 (G3),Micro ATX,Socket 1155,Intel H61,DDR3,,,,
ASUS F1A55-M LK R2.0,Micro ATX,Socket FM1,AMD A55,DDR3,7,1,,
ASUS P5Q Deluxe,ATX,Socket 775,Intel P45,DDR2,,,0,
ASUS P5BV-E/SAS,ATX,Socket 775,,DDR2,,,,
MSI 880GM-E41,Micro ATX,Socket AM3,AMD 880G,DDR3,,,,
ASUS Q170M2,Micro ATX,Socket 1151,Intel Q170,DDR4,6,1,,
Gigabyte 6LXGH,ATX,Socket 1150,Intel C224,DDR3,4,1,,
MSI A88X-G41 PC Mate,ATX,Socket FM2+,AMD A88X,DDR3,6,2,,
MSI Z97 PC Mate,ATX,Socket 1150,Intel Z97,DDR3,6,2,,
ASUS P10S-V/4L,ATX,Socket 1151,Intel C236,DDR4,8,1,,
MSI G43M2-F,Micro ATX,Socket 775,Intel G43,DDR2,,,0,
ASRock B85 Anniversary,ATX,Socket 1150,Intel B85,DDR3,4,1,,
ASUS F1A55,ATX,Socket FM1,AMD A55,DDR3,,,,
MSI P67A-G45 (B3),ATX,Socket 1155,Intel P67,DDR3,2,2,4,
Gigabyte Z170-HD3,ATX,Socket 1151,Intel Z170,DDR4,,,,
MSI H110M Gaming,Micro ATX,Socket 1151,Intel H110,DDR4,4,1,0,2
ASUS Z97-WS,ATX,Socket 1150,Intel Z97,DDR3,4,4,,
Gigabyte Z97MX Gaming 5,Micro ATX,Socket 1150,Intel Z97,DDR3,6,3,4,
Gigabyte A55M-S2V,Micro ATX,Socket FM1,AMD A55,DDR3,6,1,,
MSI 880GM-E43,Micro ATX,Socket AM3,AMD 880G,DDR3,,,,
ASUS P5QL SE/C/SI,ATX,Socket 775,,,,,,
ASUS H61M Plus,Micro ATX,Socket 1155,Intel H61,DDR3,2,1,,
Gigabyte X150-Plus WS,ATX,Socket 1151,Intel C232,DDR4,6,2,0,4
ASRock Z97M Anniversary,Micro ATX,Socket 1150,Intel Z97,DDR3,6,1,,
Gigabyte 870A-UD3 3.1,ATX,Socket AM3,AMD 870,DDR3,,,,
Gigabyte M68MT-S2P,Micro ATX,Socket AM3,Nvidia GeForce 7025,DDR3,,,,
Gigabyte 870A-UD3 3.0,ATX,Socket AM3,AMD 870,DDR3,,,,
MSI P7N Zilent,ATX,Socket 775,Nvidia nForce 750i SLI,DDR2,,,,
ASRock X79 Extreme6/GB,ATX,Socket 2011,,DDR3,5,3,,
Gigabyte P67A-D3-B3,ATX,Socket 1155,Intel P67,DDR3,2,1,,
ASUS Z87-Expert (C2),ATX,Socket 1150,Intel Z87,DDR3,8,3,4,
ASUS H170M-Plus,Micro ATX,Socket 1151,Intel H170,DDR4,6,2,,
ASUS P8Z77-V Premium,ATX,Socket 1155,Intel Z77,DDR3,6,4,4,
MSI Z87M-G43,Micro ATX,Socket 1150,Intel Z87,DDR3,6,2,,
ASUS P5Q-E,ATX,Socket 775,Intel P45,DDR2,,,,
ASUS F1A55-M,Micro ATX,Socket FM1,AMD A55,DDR3,6,2,,
MSI FM2-A75MA-E35,Micro ATX,Socket FM2,AMD A75,DDR3,6,1,2,
ASUS F1A55-V,ATX,Socket FM1,AMD A55,DDR3,,,,
MSI B85M-E33 V2,Micro ATX,Socket 1150,Intel B85,DDR3,2,1,,
ASUS M4A79T Deluxe,ATX,Socket AM3,AMD 790FX,DDR3,,,4,
ASRock B85M BTC,Micro ATX,Socket 1150,Intel B85,DDR3,4,1,,
MSI Z68MA-ED55 (B3),Micro ATX,Socket 1155,Intel Z68,DDR3,2,2,,
ASRock B150M-DVS R2.0,Micro ATX,Socket 1151,Intel B150,DDR4,,,,
ASUS M4A88T-V Evo,ATX,Socket AM3,AMD 880G,DDR3,,,,
Gigabyte X99 Gaming 7 WiFi,ATX,Socket 2011-3,Intel X99,DDR4,10,4,,
ASUS M3A32-MVP Deluxe/WiFi-AP,ATX,Socket AM2+,AMD 790FX,DDR2,,,0,
Gigabyte A75M-S2V,Micro ATX,Socket FM1,AMD A75,DDR3,6,2,,
MSI Z68A-G43 (G3),ATX,Socket 1155,Intel Z68,DDR3,2,2,,
ASUS F1A55-M LX Plus,Micro ATX,Socket FM1,AMD A55,DDR3,2,2,,
ASUS P8B75-M LX,Micro ATX,Socket 1155,Intel B75,DDR3,1,1,,
Gigabyte H81M-D3V,Micro ATX,Socket 1150,Intel H81,,,,,
ASUS P8H61 Plus,ATX,Socket 1155,Intel H61,DDR3,,,,
ASRock M3N78D FX,ATX,Socket AM3+,Nvidia nForce 720D,DDR3,,,,
ASUS H87M-Plus/CSM,Micro ATX,Socket 1150,Intel H87,DDR3,6,2,,
ASUS P5M2-M,Micro ATX,Socket 775,,DDR2,,,,
MSI P41T-C31,ATX,Socket 775,Intel G41,DDR2,,,,
ASRock 4CoreDual-SATA2,ATX,Socket 775,,DDR2,,,,
ASUS Crosshair,ATX,Socket AM2,Nvidia nForce 590 SLI,DDR2,,,,
ASUS Maximus V Gene,Micro ATX,Socket 1155,Intel Z77,DDR3,2,2,4,
MSI B150M Eco,Micro ATX,Socket 1151,Intel B150,DDR4,6,1,,2
ASUS P8H67-M LE (B3),Micro ATX,Socket 1155,Intel H67,DDR3,2,1,,
ASUS P5B Deluxe/WiFi-AP,ATX,Socket 775,Intel P965,,,,,
MSI H170M-A Pro,Micro ATX,Socket 1151,Intel H170,DDR4,6,2,,
ASRock M3A790GXH/128M,ATX,Socket AM3,AMD 790GX,DDR3,,,4,
MSI H81M-P33 Plus,Micro ATX,Socket 1150,Intel H81,DDR3,4,1,,
ASRock H67M,Micro ATX,Socket 1155,Intel H67,DDR3,2,1,,
MSI Z87 MPower,ATX,Socket 1150,Intel Z87,DDR3,8,3,4,
ASUS M4A87TD/USB3,ATX,Socket AM3,AMD 870,DDR3,6,1,,
ASRock A770DE+,ATX,Socket AM2+,AMD 770,DDR2,,,,
ASUS M4A87TD Evo,ATX,Socket AM3,AMD 870,DDR3,6,2,,
ASUS Z87-A (C2),ATX,Socket 1150,Intel Z87,DDR3,6,3,4,
Gigabyte H81M-D2V,Micro ATX,Socket 1150,Intel H81,DDR3,2,1,,
ASUS P8Z68-V LE,ATX,Socket 1155,Intel Z68,DDR3,2,2,,
MSI B75MA-E31,Micro ATX,Socket 1155,Intel B75,DDR3,1,1,,
ASRock FM2A68M-DG3+,Micro ATX,Socket FM2+,AMD A68H,DDR3,4,1,,
MSI B75MA-E33,Micro ATX,Socket 1155,Intel B75,DDR3,1,1,2,
ASRock ALivenF6G-GLAN,Micro ATX,Socket AM2+,Nvidia GeForce 6150,DDR2,,,,
Gigabyte B85M-HD3-A,Micro ATX,Socket 1150,Intel B85,DDR3,4,1,,
