ProductName,Capacity (Total),ModuleNum,MemType,MemSpeed
Kingston HyperX Savage Black 8GB DDR4-3000 CL15 kit,8 GB,2 x,DDR4,3000 MHz
Geil Black Dragon 8GB DDR3-1333 CL7 kit,8 GB,2 x,DDR3,1333 MHz
Adata XPG V2 Series 16GB DDR3-2800 CL12 kit,16 GB,2 x,DDR3,2800 MHz
Corsair Dominator Platinum 16GB DDR4-3000 CL15 quad kit,16 GB,4 x,DDR4,3000 MHz
OCZ Blade 4GB DDR2-1200 CL5 kit,4 GB,2 x,DDR2,1200 MHz
Corsair Dominator Platinum 32GB DDR3-1866 CL9 quad kit,32 GB,4 x,DDR3,1866 MHz
Crucial Ballistix Tactical 8GB DDR3-1600 CL8 kit,8 GB,2 x,DDR3,1600 MHz
Geil Value Plus 12GB DDR3-1333 CL9 triple kit,12 GB,3 x,DDR3,1333 MHz
Team Vulcan Series Gold 8GB DDR3-2400 CL11 kit,8 GB,2 x,DDR3,2400 MHz
Kingston ValueRam 8GB DDR3-1600 CL11 kit,8 GB,2 x,DDR3,1600 MHz
Geil Black Dragon 6GB DDR3-1333 CL7 triple kit,6 GB,3 x,DDR3,1333 MHz
Geil Evo Leggera 32GB DDR3-2400 CL11 quad kit,32 GB,4 x,DDR3,2400 MHz
Kingston ValueRam Intel 12GB DDR3-1600 CL11 ECC Registered triple kit,12 GB,3 x,DDR3,1600 MHz
Geil Super Luce White/Red 16GB DDR4-3400 CL16 quad kit,16 GB,4 x,DDR4,3400 MHz
G.Skill Trident Z 8GB DDR4-3000 CL15-16 kit,8 GB,2 x,DDR4,3000 MHz
Kingston HyperX Genesis 64GB DDR3-1600 CL9 octo kit,64 GB,8 x,DDR3,1600 MHz
Corsair Vengeance LPX Red 64GB DDR4-2400 CL16 quad kit,64 GB,4 x,DDR4,2400 MHz
Geil Evo Veloce 8GB DDR3-2133 CL11 kit,8 GB,2 x,DDR3,2133 MHz
Geil Evo Potenza Frost White 16GB DDR3-3000 CL12 kit,16 GB,2 x,DDR3,3000 MHz
Kingston HyperX Savage Black 32GB DDR4-3000 CL15 quad kit,32 GB,4 x,DDR4,3000 MHz
Corsair Vengeance Extreme 8GB DDR3-3000 CL12 kit,8 GB,2 x,DDR3,3000 MHz
Corsair Vengeance Pro Red 8GB DDR3-1866 CL9 kit,8 GB,2 x,DDR3,1866 MHz
Crucial 8GB DDR2-533 ECC Registered kit,8 GB,2 x,DDR2,533 MHz
Team Xtreem Series White 32GB DDR3-2400 CL10 quad kit,32 GB,4 x,DDR3,2400 MHz
Kingston HyperX Savage Black 8GB DDR4-2133 CL13 kit,8 GB,2 x,DDR4,2133 MHz
Kingston HyperX Savage 16GB DDR3-2400MHz CL11 kit,16 GB,2 x,DDR3,2400 MHz
Corsair Twin3X 4GB DDR3-1600 CL9 kit,4 GB,2 x,DDR3,1600 MHz
Team Vulcan Series Orange 8GB DDR3-1866 CL11 kit,8 GB,2 x,DDR3,1866 MHz
Corsair Dominator Platinum 64GB DDR3-2400 CL11 octo kit,64 GB,8 x,DDR3,2400 MHz
Geil Value Plus 6GB DDR3-1600 CL8 triple kit,6 GB,3 x,DDR3,1600 MHz
OCZ XTE Blade 2 4GB DDR3-2400 CL10 kit,4 GB,2 x,DDR3,2400 MHz
Kingston HyperX Savage Black 16GB DDR4-3000 CL15 quad kit,16 GB,4 x,DDR4,3000 MHz
Geil Evo Corsa 8GB DDR3-2133 CL11 kit,8 GB,2 x,DDR3,2133 MHz
Geil Evo Leggera 16GB DDR3-2800 CL11-13 quad kit,16 GB,2 x,DDR3,2800 MHz
Team Dark Series Blue 16GB DDR4-2666 CL15 quad kit,16 GB,4 x,DDR4,2666 MHz
OCZ Platinum 6GB DDR3-1333 CL8 triple kit,6 GB,3 x,DDR3,1333 MHz
Geil Enhance Veloce 8GB DDR3-1600 CL9 kit,8 GB,2 x,DDR3,1600 MHz
Corsair Vengeance 64GB DDR3-1600 CL9 octo kit,64 GB,8 x,DDR3,1600 MHz
Corsair Dominator Platinum Series 16GB DDR3-1600 CL7 quad kit,16 GB,4 x,DDR3,1600 MHz
Corsair Vengeance LPX Silver 8GB DDR3-2133 CL11 kit,8 GB,2 x,DDR3,2133 MHz
Corsair Dominator Platinum 32GB DDR4-3466 CL16 quad kit + Fan,32 GB,4 x,DDR4,3466 MHz
Geil Evo Leggera 16GB DDR3-2400 CL11 quad kit,16 GB,4 x,DDR3,2400 MHz
Kingston ValueRam 32GB DDR3-1600 CL11 ECC quad kit,32 GB,4 x,DDR3,1600 MHz
Crucial 64GB DDR4-2400 CL17 VLP ECC Registered quad kit,64 GB,4 x,DDR4,2400 MHz
Kingston HyperX Savage Black 16GB DDR4-2133 CL13 kit,16 GB,2 x,DDR4,2133 MHz
Crucial Ballistix Smart Tracer 16GB DDR3-1600 CL8 kit,16 GB,2 x,DDR3,1600 MHz
OCZ Vista Upgrade 16GB DDR2-800 CL5 quad kit,16 GB,4 x,DDR2,800 MHz
Crucial 64GB DDR3-1866 CL13 kit,64 GB,2 x,DDR3,1866 MHz
Team Xtreem Series White 16GB DDR3-2400 CL10 quad kit,16 GB,4 x,DDR3,2400 MHz
Corsair Vengeance Red 32GB DDR3-1866 CL10 quad kit,32 GB,4 x,DDR3,1866 MHz
Corsair Dominator Platinum 16GB DDR3-2666 CL12 quad kit,16 GB,4 x,DDR3,2666 MHz
Corsair Vengeance Pro Red 16GB DDR3-2400 CL10 kit,16 GB,2 x,DDR3,2400 MHz
G.Skill RipjawsZ 8GB DDR3-2400 CL8 quad kit,8 GB,4 x,DDR3,2400 MHz
G.Skill TridentX 16GB DDR3-3000 CL12 quad kit,16 GB,4 x,DDR3,3000 MHz
Kingston ValueRam 12GB DDR3-1066 CL7 ECC Registered triple kit,12 GB,3 x,DDR3,1066 MHz
Crucial Ballistix Sport 8GB DDR3-1600 CL10 kit,8 GB,2 x,DDR3,1600 MHz
OCZ Platinum XTE 4GB DDR3-2000 CL8 kit,4 GB,2 x,DDR3,2000 MHz
Corsair Vengeance Blue 16GB DDR3-1600 CL9 quad kit,16 GB,4 x,DDR3,1600 MHz
G.Skill Ripjaws V Black 16GB DDR4-3466 CL16 quad kit,16 GB,4 x,DDR4,3466 MHz
G.Skill Ripjaws V Red 32GB DDR4-3200 CL15 quad kit,32 GB,4 x,DDR4,3200 MHz
G.Skill TridentX 32GB DDR3-2933 CL12 quad kit,32 GB,4 x,DDR3,2933 MHz
Corsair Vengeance Black/Blue LED 16GB DDR4-3000 CL15 kit,16 GB,2 x,DDR4,3000 MHz
Corsair Vengeance LPX Red 16GB DDR4-3733 CL17 kit,16 GB,2 x,DDR4,3733 MHz
Adata XPG Gold V2 16GB DDR3-2600 CL11 kit,16 GB,2 x,DDR3,2600 MHz
Geil Evo Potenza 16GB DDR4-3000 CL16 quad kit,16 GB,4 x,DDR4,3000 MHz
Geil Evo Veloce 8GB DDR3-1600 CL9 kit,8 GB,2 x,DDR3,1600 MHz
Kingston ValueRam 8GB DDR4-2400 CL15 ECC kit,8 GB,2 x,DDR4,2400 MHz
G.Skill Ripjaws IV Red 64GB DDR4-2133 CL15 octo kit,64 GB,8 x,DDR4,2133 MHz
OCZ Gold 12GB DDR3-1600 CL7 triple kit,12 GB,3 x,DDR3,1600 MHz
OCZ Platinum XTC 4GB DDR2-800 CL4 quad kit,4 GB,4 x,DDR2,800 MHz
Kingston HyperX LoVo 16GB DDR3-1600 CL10 XMP kit,16 GB,2 x,DDR3,1600 MHz
Corsair Vengeance LPX Blue 16GB DDR4-2800 CL16 quad kit,16 GB,4 x,DDR4,2800 MHz
OCZ AM2 8GB DDR2-667 CL5 quad kit,8 GB,4 x,DDR2,667 MHz
G.Skill Ripjaws V 16GB DDR4-2800 CL17 kit,16 GB,2 x,DDR4,2800 MHz
Geil White Dragon 16GB DDR4-3200 CL15 kit,16 GB,2 x,DDR4,3200 MHz
Team Vulcan Series Red 8GB DDR3-1600 CL9 kit,8 GB,2 x,DDR3,1600 MHz
Corsair Dominator Platinum 32GB DDR4-2800 CL16 quad kit,32 GB,4 x,DDR4,2800 MHz
G.Skill TridentX 8GB DDR3-2400 CL9 kit,8 GB,2 x,DDR3,2400 MHz
Geil 16GB DDR3-1600 CL9 quad kit,16 GB,4 x,DDR3,1333 MHz
Crucial Ballistix Tactical 16GB DDR3-1600 CL8 kit,16 GB,2 x,DDR3,1600 MHz
G.Skill Ares 8GB DDR3-1600 CL9 kit,8 GB,2 x,DDR3,1600 MHz
Geil Evo Potenza White Series 8GB DDR3-2400 CL11 kit,8 GB,2 x,DDR3,2400 MHz
Kingston ValueRam 4GB DDR2-800 CL5 ECC kit,4 GB,2 x,DDR2,800 MHz
OCZ Titanium XTC 4GB DDR2-800 CL4 kit,4 GB,2 x,DDR2,800 MHz
Crucial 8GB DDR2-667 ECC Registered kit,8 GB,2 x,DDR2,667 MHz
Kingston ValueRam 16GB DD3-1066 CL7 ECC Registered kit,16 GB,2 x,DDR3,1066 MHz
Corsair Vengeance Pro Red 8GB DDR3-2133 kit,8 GB,2 x,DDR3,2133 MHz
Geil Evo Veloce 32GB DDR3-1600 CL9 quad kit,32 GB,4 x,DDR3,1600 MHz
Team Dark Pro Series Red DDR4-3200 CL16 kit,8 GB,2 x,DDR4,3200 MHz
OCZ Reaper HPC 12GB DDR3-1600 CL7 ULV triple kit,12 GB,3 x,DDR3,1600 MHz
Corsair Vengeance LPX Black 16GB DDR4-2800 CL14 kit,16 GB,2 x,DDR4,2800 MHz
Adata XPG V2 Gold 8GB DDR3-1600 CL9 kit,8 GB,2 x,DDR3,1600 MHz
Corsair Dominator DHX 12GB DDR3-1600 CL8 hexa kit,12 GB,6 x,DDR3,1600 MHz
Corsair Vengeance Pro 8GB DDR3-3000 CL12 kit,8 GB,2 x,DDR3,3000 MHz
G.Skill Ripjaws V White 16GB DDR4-2400 CL15 kit,16 GB,2 x,DDR4,2400 MHz
G.Skill RipjawsZ 32GB DDR3-1600 CL9 octo kit,32 GB,8 x,DDR3,1600 MHz
OCZ Gold Edition 8GB DDR3 CL9 quad kit,8 GB,4 x,DDR3,1333 MHz
Corsair Vengeance LPX Black 64GB DDR4-2800 CL14 quad kit,64 GB,4 x,DDR4,2800 MHz
Geil Evo Corsa 16GB DDR3-2133 CL11 quad kit,16 GB,4 x,DDR3,2133 MHz
G.Skill Ripjaws V Red 32GB DDR4-3000 CL15 quad kit,32 GB,4 x,DDR4,3000 MHz
Kingston HyperX Anniversary 16GB DDR3-2400 CL11 quad kit,16 GB,4 x,DDR3,2400 MHz
Team Vulcan Series Red 16GB DDR3-1600 CL9 kit,16 GB,2 x,DDR3,1600 MHz
OCZ Platinum XTE 4GB DDR3-1600 CL7 kit,4 GB,2 x,DDR3,1600 MHz
Kingston HyperX Predator 32GB DDR3-2400 CL11 quad kit,32 GB,4 x,DDR3,2400 MHz
Corsair Vengeance 8GB DDR3-1333 CL9,8 GB,2 x,DDR3,1333 MHz
Crucial Ballistix 4GB DDR3-1600 CL8 kit,4 GB,2 x,DDR3,1600 MHz
Crucial Ballistix Elite 4GB DDR3-1866 CL9 kit,4 GB,2 x,DDR3,1866 MHz
Kingston HyperX 4GB DDR3-1625 CL7 kit,4 GB,2 x,DDR3,1625 MHz
Geil Evo Forza 32GB DDR4-2133 CL15 kit,32 GB,2 x,DDR4,2133 MHz
G.Skill Ripjaws V Red 32GB DDR4-2400 CL15 quad kit,32 GB,4 x,DDR4,2400 MHz
Team Vulcan Series Gold 32GB DDR3-2133 CL11 quad kit,32 GB,4 x,DDR3,2133 MHz
Corsair Dominator GT 6GB DDR3-1600 CL7 kit,6 GB,2 x,DDR3,1600 MHz
Geil Evo Potenza White Series 16GB DDR3-2400 CL11 kit,16 GB,2 x,DDR3,2400 MHz
Corsair Vengeance LPX Black 16GB DDR4-3466 CL16 kit,16 GB,2 x,DDR4,3466 MHz
Corsair Vengeance LPX Black 128GB DDR4-2133 CL13 octo kit,128 GB,8 x,DDR4,2133 MHz
G.Skill RipjawsX Red 8GB DDR3-1866 CL9 kit,8 GB,2 x,DDR3,1866 MHz
Geil Evo Corsa 16GB DDR3-1866 CL9 quad kit,16 GB,4 x,DDR3,1866 MHz
Corsair Vengeance LPX Red 16GB DDR4-2666 CL16 kit,16 GB,2 x,DDR4,2666 MHz
G.Skill Ripjaws IV Black 16GB DDR4-2133 CL15 quad kit,16 GB,4 x,DDR4,2133 MHz
Crucial 8GB DDR3-1066 Unbuffered ECC kit,8 GB,2 x,DDR3,1066 MHz
G.Skill 6GB DDR3-1333 CL7 triple kit,6 GB,3 x,DDR3,1333 MHz
Corsair Vengeance Black/Red LED 32GB DDR4-3200 CL16 kit,32 GB,2 x,DDR4,3200 MHz
G.Skill 4GB DDR2-800 CL5 kit,4 GB,2 x,DDR2,800 MHz
Kingston HyperX Fury Black 32GB DDR4-2400 CL15 quad kit,32 GB,4 x,DDR4,2400 MHz
Kingston HyperX Predator 8GB DDR3-2800 CL12 kit,8 GB,2 x,DDR3,2800 MHz
Geil Super Luce Black/Red 8GB DDR4-3000 CL16 kit,8 GB,2 x,DDR4,3000 MHz
Kingston HyperX 4GB DDR3-1600 CL8 kit,4 GB,2 x,DDR3,1600 MHz
Geil Value Plus 8GB DDR3-1333 CL9 kit,8 GB,2 x,DDR3,1333 MHz
G.Skill Ripjaws V Red 64GB DDR4-3200 CL14 quad kit,64 GB,4 x,DDR4,3200 MHz
Kingston HyperX Black 4GB DDR3-1600 CL9 XMP kit,4 GB,2 x,DDR3,1600 MHz
Kingston ValueRam 12GB DDR3-1333 CL9 triple kit with Thermal Sensor,12 GB,3 x,DDR3,1333 MHz
G.Skill Trident Z Black/White 32GB DDR4-3333 CL16 kit,32 GB,2 x,DDR4,3333 MHz
Corsair Vengeance LPX Blue 32GB DDR4-2400 CL14 quad kit,32 GB,4 x,DDR4,2400 MHz
G.Skill Ripjaws V Black 32GB DDR4-3000 CL14 quad kit,32 GB,4 x,DDR4,3000 MHz
Crucial 6GB DDR3-1066 CL7 ECC triple kit,6 GB,3 x,DDR3,1066 MHz
Kingston ValueRam Intel 64GB DDR3-1333 CL9 ECC Registered quad kit,64 GB,4 x,DDR3,1333 MHz
Crucial 4GB DDR3-1333 CL9 kit,4 GB,2 x,DDR3,1333 MHz
Kingston ValueRam 8GB DDR3-1333 CL9 kit,8 GB,2 x,DDR3,1333 MHz
G.Skill Sniper 32GB DDR3-2133 CL10 quad kit,32 GB,4 x,DDR3,2133 MHz
Geil Black Dragon 16GB DDR3-1333 CL9 kit,16 GB,2 x,DDR3,1333 MHz
Geil Evo Veloce 8GB DDR3-1866 CL9 kit,8 GB,2 x,DDR3,1866 MHz
Corsair Dominator Platinum 16GB DDR3-2400 CL10 kit,16 GB,2 x,DDR3,2400 MHz
Crucial Ballistix Sport LT White 16GB DDR4-2400 CL16 kit,16 GB,2 x,DDR4,2400 MHz
G.Skill TridentX 16GB DDR3-2666 CL11 quad kit (4x4),16 GB,4 x,DDR3,2666 MHz
G.Skill NT 16GB DDR4-2400 CL15 quad kit,16 GB,4 x,DDR4,2400 MHz
G.Skill Ripjaws IV Black 16GB DDR4-3333 CL16 Cooler quad kit,16 GB,4 x,DDR4,3333 MHz
Geil Gaming Evo 8GB DDR3-2133 CL9 kit,8 GB,2 x,DDR3,2133 MHz
Geil Black Dragon 6GB DDR3-1600 CL8 triple kit,6 GB,3 x,DDR3,1600 MHz
OCZ Blade ST 8GB DDR3-1600 CL8 kit,8 GB,2 x,DDR3,1600 MHz
G.Skill Ripjaws V Red 16GB DDR4-3000 CL14 kit,16 GB,2 x,DDR4,3000 MHz
G.Skill RipjawsX Blue 8GB DDR3-2133 CL9 kit,8 GB,2 x,DDR3,2133 MHz
Corsair Dominator Platinum 8GB DDR4-4000 CL19 kit,8 GB,2 x,DDR4,4000 MHz
Corsair Vengeance Pro Red 16GB DDR3-1866 CL9 kit,16 GB,2 x,DDR3,1866 MHz
Crucial 24GB DDR3-1866 CL13 Triple kit,24 GB,3 x,DDR3,1866 MHz
G.Skill Ripjaws V 64GB DDR4-3200 CL16 octo kit,64 GB,8 x,DDR4,3200 MHz
Geil 16GB DDR2-800 CL6 quad kit,16 GB,4 x,DDR2,800 MHz
Geil Evo Forza Black/Red 16GB DDR4-3200 CL15 kit,16 GB,2 x,DDR4,3200 MHz
Geil Black Dragon 4GB DDR2-1066 CL6 kit,4 GB,2 x,DDR2,1066 MHz
Adata XPG Z1 16GB DDR4-2800 CL17 quad kit,16 GB,4 x,DDR4,2800 MHz
Corsair Vengeance LPX 32GB DDR4-3400 CL16 quad kit,32 GB,4 x,DDR4,3400 MHz
Crucial Ballistix Sport 4GB DDR3-1600 CL10 kit,4 GB,2 x,DDR3,1600 MHz
Kingston HyperX Beast 8GB DDR3-1600 CL9 kit,8 GB,2 x,DDR3,1600 MHz
Corsair Dominator Platinum 128GB DDR4-2666 CL15 octo kit,128 GB,8 x,DDR4,2666 MHz
G.Skill Ripjaws V Black 32GB DDR4-3333 CL16 quad kit,32 GB,4 x,DDR4,3333 MHz
Corsair Dominator GT 8GB DDR3-1866 CM9 kit,8 GB,2 x,DDR3,1866 MHz
OCZ Platinum XTC 6GB DDR3-1866 triple kit,6 GB,3 x,DDR3,1866 MHz
Team Elite Plus 8GB DDR4-2133 CL15 kit,8 GB,2 x,DDR4,2133 MHz
G.Skill RipjawsZ 16GB DDR3-2133 CL11 kit,16 GB,2 x,DDR3,2133 MHz
Corsair Quad2X 8GB DDR2-1066 CL4 EPP quad kit,8 GB,4 x,DDR2,1066 MHz
Crucial 128GB DDR4-2133 CL15 ECC quad kit,128 GB,4 x,DDR4,2133 MHz
G.Skill TridentX 16GB DDR3-2800 CL12 quad kit,16 GB,4 x,DDR3,2800 MHz
Crucial 12GB DDR3-1600 CL11 ECC Registered triple kit,12 GB,3 x,DDR3,1600 MHz
G.Skill TridentX 16GB DDR3-2800 CL11-14 quad kit,16 GB,4 x,DDR3,2800 MHz
Crucial 32GB DDR4-2400 CL17 ECC kit,32 GB,2 x,DDR4,2400 MHz
Geil Value Plus 4GB DDR3-1600 CL9 kit,4 GB,2 x,DDR3,1600 MHz
Corsair Dominator Platinum 16GB DDR4-3600 CL18 kit,16 GB,2 x,DDR4,3600 MHz
Corsair Vengeance Red 8GB DDR3-1866 CL9 LP kit,8 GB,2 x,DDR3,1866 MHz
Geil Evo Forza Black/Yellow 16GB DDR4-2666 CL15 kit,16 GB,2 x,DDR4,2666 MHz
Crucial 8GB DDR2-667 kit,8 GB,2 x,DDR2,667 MHz
Geil Evo Potenza Onyx Black 8GB DDR3-1866 CL9 kit,8 GB,2 x,DDR3,1866 MHz
Corsair Dominator Platinum 16GB DDR3-2400 CL10 quad kit,16 GB,4 x,DDR3,2400 MHz
Crucial 64GB DDR4-2133 CL15 ECC Registered kit,64 GB,2 x,DDR4,2133 MHz
G.Skill Ripjaws IV Black 32GB DDR4-2666 CL15 quad kit,32 GB,4 x,DDR4,2666 MHz
Geil Evo Potenza 16GB DDR4-2800 CL16 quad kit,16 GB,4 x,DDR4,2800 MHz
Corsair Dominator GT 8GB DDR3-2133 CL9 kit,8 GB,2 x,DDR3,2133 MHz
Kingston HyperX Predator 16GB DDR3-2400 CL11 kit,16 GB,2 x,DDR3,2400 MHz
Corsair Dominator Platinum 8GB DDR3-2133 CL9 kit,8 GB,2 x,DDR3,2133 MHz
Geil Value Series 4GB DDR2-800 CL5 kit,4 GB,2 x,DDR2,800 MHz
G.Skill RipjawsZ 32GB DDR3-1866 CL10 quad kit,32 GB,4 x,DDR3,1866 MHz
Geil Dragon 8GB DDR4-3000 CL15 kit,8 GB,2 x,DDR4,3000 MHz
Kingston HyperX Anniversary 8GB DDR3-1866 CL9 kit,8 GB,2 x,DDR3,1866 MHz
Kingston ValueRam 12GB DDR3-1066 ECC Registered CL7 triple kit,12 GB,3 x,DDR3,1066 MHz
Kingston ValueRam 6GB DDR3-2000 CL8 XMP triple kit,6 GB,3 x,DDR3,2000 MHz
Kingston HyperX Predator 32GB DDR4-2666 CL13 quad kit,32 GB,4 x,DDR4,2666 MHz
OCZ Blade 6GB DDR3-2000 CL9 triple kit,6 GB,3 x,DDR3,2000 MHz
OCZ Gold XTC 4GB DDR2-800 CL5 kit,4 GB,2 x,DDR2,800 MHz
G.Skill Ripjaws V Black 8GB DDR4-3200 CL16-16 kit,8 GB,2 x,DDR4,3200 MHz
Corsair Vengeance Pro Silver 32GB DDR3-1866 CL9 quad kit,32 GB,4 x,DDR3,1866 MHz
Geil Evo Two 4GB DDR3-2200 CL9 kit,4 GB,2 x,DDR3,2200 MHz
Corsair Vengeance Gold 16GB DDR3-1600 CL9 quad kit,16 GB,4 x,DDR3,1600 MHz
Team Dark Series Blue 16GB DDR4-2800 CL16 quad kit,16 GB,4 x,DDR4,2800 MHz
G.Skill 16GB DDR2-800 CL6 quad kit,16 GB,4 x,DDR2,800 MHz
OCZ Flex EX 4GB DDR2-1200 CL6 kit,4 GB,2 x,DDR2,1200 MHz
G.Skill Ripjaws V 32GB DDR4-3400 CL16 quad kit,32 GB,4 x,DDR4,3400 MHz
Kingston ValueRam 4GB DDR3-1333 CL7 XMP kit,4 GB,2 x,DDR3,1333 MHz
OCZ Reaper HPC 12GB DDR3-1600 CL8 triple kit,12 GB,3 x,DDR3,1600 MHz
G.Skill RipjawsZ 32GB DDR3-2400 CL11 quad kit,32 GB,4 x,DDR3,2400 MHz
Crucial Smart Tracer 8GB DDR3-1600 CL9 kit,8 GB,2 x,DDR3,1600 MHz
Corsair Dominator Platinum 64GB DDR4-2666 CL15 quad kit,64 GB,4 x,DDR4,2666 MHz
Corsair Vengeance 16GB DDR3-1866 CL10 LP kit,16 GB,2 x,DDR3,1866 MHz
Geil Super Luce Black/Red 16GB DDR4-2400 CL15 kit,16 GB,2 x,DDR4,2400 MHz
Corsair Vengeance Pro Red 16GB DDR3-2133 CL8 quad kit,16 GB,4 x,DDR3,2133 MHz
Corsair Vengeance LPX Black 32GB DDR4-2800 CL16 quad kit,32 GB,4 x,DDR4,2800 MHz
Crucial 16GB DDR4-2133 CL15 ECC Registered quad kit,16 GB,4 x,DDR4,2133 MHz
Geil Evo Potenza 64GB DDR4-2133 CL15 octo kit,64 GB,8 x,DDR4,2133 MHz
Corsair Vengeance LED Black White LED 32GB DDR4-2666 CL16 quad kit,32 GB,4 x,DDR4,2666 MHz
Crucial 24GB DDR3-1333 CL9 ECC triple kit,24 GB,3 x,DDR3,1333 MHz
Geil Evo Potenza Series Red 16GB DDR4-3200 CL16 quad kit,16 GB,4 x,DDR4,3200 MHz
Kingston HyperX Genesis 4GB DDR3-1333 CL7 kit,4 GB,2 x,DDR3,1333 MHz
Geil Evo Leggera 16GB DDR3-2400 CL11 kit,16 GB,2 x,DDR3,2400 MHz
Corsair XMS3 4GB DDR3-1600 CL7 kit,4 GB,2 x,DDR3,1600 MHz
Crucial Ballistix Sport LT Grey 32GB DDR4-2400 CL16 quad kit,32 GB,4 x,DDR4,2400 MHz
G.Skill Trident 8GB DDR3-2133 CL9 quad kit,8 GB,4 x,DDR3,2133 MHz
Corsair Triple3X 6GB DDR3-1600 CL9 triple kit,6 GB,3 x,DDR3,1600 MHz
G.Skill GT1 4GB DDR3-1800 CL8 kit,4 GB,2 x,DDR3,1800 MHz
Corsair Vengeance LPX Blue 32GB DDR4-2666 CL16 quad kit,32 GB,4 x,DDR4,2666 MHz
Corsair Vengeance Black/Red LED 32GB DDR4-2666 CL16 kit,32 GB,2 x,DDR4,2666 MHz
G.Skill Aegis 8GB DDR4-2133 CL15 kit,8 GB,2 x,DDR4,2133 MHz
Team Dark Series Black 16GB DDR3-2400 CL11 kit,16 GB,2 x,DDR3,2400 MHz
Team Xtreem Series 16GB DDR3-2133 CL11 quad kit,16 GB,4 x,DDR3,2133 MHz
Corsair 8GB DDR3-1333 CL9 kit,8 GB,2 x,DDR3,1333 MHz
Kingston HyperX T1 24GB DDR3-1600 CL9 hexa kit,24 GB,6 x,DDR3,1600 MHz
G.Skill RipjawsZ 16GB DDR3-1600 CL8 quad kit,16 GB,4 x,DDR3,1600 MHz
Kingston HyperX 12GB DDR3-1600 CL9 XMP triple kit,12 GB,2 x,DDR3,1600 MHz
OCZ Platinum XTC 6GB DDR3-1866 CL8 triple kit,6 GB,3 x,DDR3,1866 MHz
Corsair Dominator Platinum 8GB DDR3-2800 CL12 kit,8 GB,2 x,DDR3,2800 MHz
Kingston HyperX Predator Black 32GB DDR4-3000 CL16 kit,32 GB,2 x,DDR4,3000 MHz
OCZ XTE Platinum LV 6GB DDR3-2000 CL7 triple kit,6 GB,3 x,DDR3,2000 MHz
OCZ Flex EX 4GB DDR2-800 CL4 kit,4 GB,2 x,DDR2,800 MHz
G.Skill Trident Z 64GB Silver/Red DDR4-3200 CL15 octo kit,64 GB,8 x,DDR4,3200 MHz
Corsair Dominator GT 4GB DDR3-2000 CL8 kit,4 GB,2 x,DDR3,2000 MHz
Adata G-Series 4GB DDR3-1600 CL9 kit,4 GB,2 x,DDR3,1600 MHz
OCZ Gold XTC 4GB DDR3-1800 CL9 kit,4 GB,2 x,DDR3,1800 MHz
Transcend 4GB DDR3-2133 CL10 kit,4 GB,2 x,DDR3,2133 MHz
Corsair Vengeance 4GB DDR3-1600 CL9 kit,4 GB,2 x,DDR3,1600 MHz
G.Skill Trident Z 16GB DDR4-3466 CL16 quad kit,16 GB,4 x,DDR4,3466 MHz
G.Skill Ripjaws V Black 16GB DDR4-2800 CL16 kit,16 GB,2 x,DDR4,2800 MHz
Geil EVO ONE 8GB DDR2-800 CL4 quad kit,8 GB,4 x,DDR2,800 MHz
Adata XPG 12GB DDR3-1600 CL9 triple kit,12 GB,3 x,DDR3,1600 MHz
OCZ Reaper HPC 4GB DDR3-1600 CL7 kit,4 GB,2 x,DDR3,1600 MHz
G.Skill NT Series 8GB DDR3-1600 CL11 kit,8 GB,2 x,DDR3,1600 MHz
Geil Black Dragon 6GB DDR3-1333 CL6 triple kit,6 GB,3 x,DDR3,1333 MHz
Corsair Dominator 4GB DDR3-1600 C7 kit,4 GB,2 x,DDR3,1600 MHz
Kingston HyperX Savage 8GB DDR3-1866MHz CL9 kit,8 GB,2 x,DDR3,1866 MHz
Corsair Vengeance LPX White 16GB DDR4-3000 CL15 kit,16 GB,2 x,DDR4,3000 MHz
Kingston ValueRam 24GB DDR3-1600 CL11 ECC triple kit,24 GB,3 x,DDR3,1600 MHz
Kingston HyperX H2O 8GB DDR3-2133 CL11 XMP kit,8 GB,2 x,DDR3,2133 MHz
Team Elite Plus Series Black 32GB DDR4-2400 CL16 quad kit,32 GB,4 x,DDR4,2400 MHz
Geil Evo Forza Black/Yellow 16GB DDR4-2400 CL16 quad kit,16 GB,4 x,DDR4,2400 MHz
Geil 8GB DDR3-2400 CL11 kit,8 GB,2 x,DDR3,2400 MHz
Corsair Vengeance LPX Black 8GB DDR4-4000 CL19 kit,8 GB,2 x,DDR4,4000 MHz
OCZ Platinum 8GB DDR3-2000 CL9 kit,8 GB,2 x,DDR3,2000 MHz
G.Skill Sniper 12GB DDR3U-1600 CL9 triple kit,12 GB,3 x,DDR3,1600 MHz
G.Skill TridentX 32GB DDR3-2133 CL9 quad kit,32 GB,4 x,DDR3,2133 MHz
G.Skill Ripjaws V 32GB DDR4-2133 CL15 kit,32 GB,2 x,DDR4,2133 MHz
Kingston HyperX 6GB DDR3-1600 CL9 Tall HS XMP triple kit,6 GB,3 x,DDR3,1600 MHz
Geil Enhance Plus 12GB DDR3-1500 CL9 triple kit,12 GB,3 x,DDR3,1500 MHz
Kingston HyperX Fury Black 32GB DDR4-2666 CL15 quad kit,32 GB,4 x,DDR4,2666 MHz
