ProductName,Capacity (Total),ModuleNum,MemType,MemSpeed
Kingston ValueRam 16GB DDR3-1066 ECC Registered CL7 Quad Rank,16 GB,4 x,DDR3,1066 MHz
Transcend 6GB DDR3-1333 CL9 triple kit,6 GB,3 x,DDR3,1333 MHz
G.Skill Ripjaws V 64GB DDR4-3000 CL14 octo kit,64 GB,8 x,DDR4,3000 MHz
Corsair Vengeanc 16GB DDR3-1600 CL9 quad kit,16 GB,4 x,DDR3,1600 MHz
G.Skill Trident Z White/Silver 16GB DDR4-3200 CL16 kit,16 GB,2 x,DDR4,3200 MHz
Adata Premier 4GB DDR3-1600 CL11 kit,4 GB,2 x,DDR3,1600 MHz
G.Skill TridentX 8GB DDR3-2800 CL11 kit,8 GB,2 x,DDR3,2800 MHz
G.Skill Ripjaws V 16GB DDR4-3000 CL15-16 quad kit,16 GB,4 x,DDR4,3000 MHz
Corsair Vengeance Black/Red LED 32GB DDR4-3000 CL15 quad kit,32 GB,4 x,DDR4,3000 MHz
Geil White Dragon 16GB DDR4-2400 CL14 kit,16 GB,2 x,DDR4,2400 MHz
Kingston HyperX Genesis 8GB DDR3-1866 CL10 kit,8 GB,2 x,DDR3,1866 MHz
Geil Evo One 12GB DDR3-1333 CL7 triple kit,12 GB,3 x,DDR3,1333 MHz
G.Skill RipjawsX 8GB DDR3-1866 CL8,8 GB,2 x,DDR3,1866 MHz
Geil Evo Leggera 32GB DDR3-1600 CL10 quad kit,32 GB,4 x,DDR3,1600 MHz
Geil Evo Potenza 16GB DDR3-2133 CL10 kit,16 GB,2 x,DDR3,2133 MHz
G.Skill Trident Z 8GB DDR4-3466 CL16 kit,8 GB,2 x,DDR4,3466 MHz
Corsair Dominator Platinum 16GB DDR4-3200 C14 quad kit,16 GB,4 x,DDR4,3200 MHz
Corsair XMS 4GB DDR3-1333 CL8 kit,4 GB,2 x,DDR3,1333 MHz
G.Skill Pi 4GB DDR2-1100 CL5 kit,4 GB,2 x,DDR2,1100 MHz
Geil Evo Leggera 16GB DDR3-1600 CL10 kit,16 GB,2 x,DDR3,1600 MHz
OCZ Reaper HPC 12GB DDR3-2000 LV CL9 triple kit,12 GB,3 x,DDR3,2000 MHz
G.Skill Eco Series 4GB DDR3-1333 CL8 kit,4 GB,2 x,DDR3,1333 MHz
Kingston HyperX Savage Black 32GB DDR4-2800 CL14 quad kit,32 GB,4 x,DDR4,2800 MHz
Corsair ValueSelect 8GB DDR3-1600 CL11 kit,8 GB,2 x,DDR3,1600 MHz
Corsair Vengeance LPX Black 32GB DDR4-2666 CL15 quad kit,32 GB,4 x,DDR4,2666 MHz
OCZ XTE Gold 6GB DDR3-2133 CL10 triple kit,6 GB,3 x,DDR3,2133 MHz
Corsair XMS3 6GB DDR3-1600 CL7 triple kit,6 GB,3 x,DDR3,1600 MHz
Geil Black Dragon 8GB DDR3-1333 CL9 kit,8 GB,2 x,DDR3,1333 MHz
Kingston HyperX T1 12GB DDR3-1600 CL9 triple kit,12 GB,3 x,DDR3,1600 MHz
G.Skill RipjawsX 8GB DDR3-1333 CL7 kit,8 GB,2 x,DDR3,1333 MHz
Crucial Ballistix Tracer Blue 6GB DDR3-1600 CL8 triple kit,6 GB,3 x,DDR3,1600 MHz
